,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.02,0.91,0.3,0.98,0.24,0.34,0.93,0.92,0.36,0.23,0.05,0.42,0.66,0.16
encog-cs.csv,0.01,0.86,0.3,0.86,0.26,0.31,0.75,0.93,0.57,0.19,0.03,0.31,0.72,0.28
extprosys.csv,0.01,0.88,0.42,0.89,0.27,0.3,0.73,0.96,0.49,0.16,0.05,0.36,0.67,0.33
ibatisdb.csv,0.0,0.9,0.26,0.81,0.34,0.32,0.83,0.92,0.48,0.18,0.05,0.15,0.71,0.58
intact.csv,0.02,0.87,0.3,0.91,0.29,0.5,0.83,0.96,0.48,0.2,0.04,0.26,0.72,0.35
japano.csv,0.0,0.88,0.32,0.87,0.29,0.3,0.77,0.97,0.35,0.19,0.02,0.35,0.66,0.24
lockss.csv,0.03,0.95,0.48,1.0,0.3,0.28,0.92,0.93,0.57,0.31,0.06,0.29,0.75,0.32
ofbiz.csv,0.0,0.88,0.28,0.87,0.28,0.29,0.83,0.92,0.44,0.13,0.03,0.39,0.81,0.3
officefloor.csv,0.02,1.0,0.29,0.9,0.33,0.41,1.0,0.91,0.44,0.18,0.07,0.17,0.8,0.35
opennms.csv,0.02,0.8,0.67,1.0,0.47,0.38,0.78,1.0,0.41,0.27,0.05,0.36,0.71,0.22
rohxel.csv,0.03,0.88,0.32,0.95,0.22,0.5,0.86,0.98,0.42,0.31,0.03,0.35,0.67,0.25
roolo.csv,0.01,0.89,0.32,0.91,0.31,0.28,0.75,0.92,0.31,0.16,0.03,0.61,0.67,0.15
sevenupdate.csv,0.01,1.0,0.28,0.88,0.23,0.29,0.77,0.93,0.35,0.18,0.03,0.35,0.67,0.26
