,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.62,0.67,0.45,0.14,0.57,0.34,0.18,0.89,0.75,0.82,0.34,0.68,0.71,0.66
encog-cs.csv,0.99,0.67,0.43,0.93,0.77,0.67,1.0,1.0,0.29,0.33,0.99,0.89,0.64,0.75
extprosys.csv,0.63,0.83,0.31,0.79,0.86,0.71,0.55,0.33,0.17,0.82,0.3,0.57,0.81,0.64
ibatisdb.csv,0.11,0.33,0.42,0.43,0.35,0.29,0.18,0.33,0.2,0.35,0.25,0.3,0.1,0.19
intact.csv,0.47,0.83,0.42,0.43,0.61,0.3,0.18,0.22,0.41,0.92,0.55,0.38,0.7,0.49
japano.csv,0.77,1.0,0.69,0.93,0.71,0.78,1.0,0.33,0.97,0.79,0.92,0.89,0.9,0.8
lockss.csv,0.28,0.17,0.22,0.0,0.27,0.18,0.09,0.44,0.08,0.34,0.31,0.32,0.29,0.2
ofbiz.csv,0.72,0.83,0.92,0.57,0.55,0.75,0.45,0.56,0.46,0.29,0.71,0.3,0.38,0.59
officefloor.csv,0.53,0.0,0.28,0.43,0.18,0.18,0.0,0.56,0.31,0.25,0.27,0.14,0.12,0.33
opennms.csv,0.38,0.67,0.01,0.0,0.26,0.07,0.55,0.0,0.19,0.24,0.09,0.24,0.34,0.07
rohxel.csv,0.34,0.67,0.54,0.14,0.27,0.11,0.36,0.11,0.6,0.32,0.3,0.41,0.14,0.41
roolo.csv,0.67,0.67,0.69,0.5,0.79,0.81,0.27,0.44,0.58,0.87,0.87,0.24,0.78,0.66
sevenupdate.csv,0.96,0.0,1.0,1.0,0.95,1.0,1.0,1.0,0.98,0.82,0.99,1.0,0.94,1.0
