,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.48,0.15,0.0,0.35,0.21,0.11,0.26,0.06,0.01,1.0,0.12,0.38,0.0,0.2,0.32,0.03,0.11
botsnscouts.csv,0.21,0.4,0.19,0.08,0.32,0.44,0.96,0.03,0.1,0.19,0.08,0.16,0.54,0.0,0.43,0.08,0.11
cities3d.csv,0.62,0.33,0.38,0.95,0.79,0.61,0.3,0.52,0.84,0.88,0.59,0.51,0.08,0.9,0.54,0.62,0.41
dynalloy.csv,0.94,0.75,0.31,0.76,0.84,0.78,0.7,0.81,0.37,0.19,0.61,0.58,0.85,0.7,0.54,0.96,0.62
electric-core.csv,0.38,0.9,0.62,0.46,0.47,0.22,0.41,0.52,0.62,0.19,0.32,0.42,0.15,0.32,0.25,0.06,0.18
findbugs.csv,0.46,0.58,0.94,0.65,0.74,0.61,0.26,0.39,0.34,0.38,0.39,0.76,0.46,0.72,1.0,0.81,0.18
img-browse-sort.csv,0.48,0.74,0.62,0.65,0.47,0.56,0.48,0.45,0.29,0.44,0.44,0.58,1.0,0.42,0.57,0.77,0.12
jparsec.csv,0.46,0.82,0.69,0.43,0.68,0.33,0.59,0.9,0.71,0.25,0.73,0.93,0.77,0.78,0.36,0.04,0.41
moast.csv,0.08,0.02,0.06,0.03,0.0,0.06,0.07,0.35,0.0,0.0,0.08,0.0,0.08,0.0,0.11,1.0,0.0
mptvseries.csv,0.54,0.63,0.0,0.78,1.0,0.72,0.41,0.87,0.33,0.38,0.35,1.0,0.46,0.48,0.64,0.98,0.27
mvnforum.csv,0.25,0.06,0.31,0.03,0.0,0.94,0.07,0.42,0.2,0.0,0.2,0.6,0.0,0.1,0.29,0.02,0.23
nosleepsoftware.csv,0.08,0.56,0.81,0.59,0.11,0.17,0.3,0.29,0.31,0.19,0.24,0.38,0.46,0.35,0.32,0.05,0.32
ogre.csv,1.0,0.99,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.85,0.98,1.0,1.0,0.89
openfrag.csv,0.69,0.76,0.56,0.73,0.84,0.83,0.74,0.81,0.53,0.56,0.92,0.8,0.85,0.88,0.86,0.99,0.71
qdvdauthor.csv,0.31,0.58,0.38,0.59,0.42,0.78,0.67,0.55,0.53,0.69,0.56,0.58,0.31,0.98,0.46,0.23,0.38
sumatrapdf.csv,0.62,0.56,0.19,0.76,0.84,0.78,0.59,1.0,0.33,0.69,0.76,1.0,0.54,0.57,0.79,0.99,0.43
zxing.csv,0.38,0.49,0.31,0.7,0.42,0.22,0.3,0.0,0.3,0.69,0.42,0.18,0.31,0.52,0.36,0.23,1.0
