,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.46,0.23,0.0,0.31,0.33,0.19,0.4,0.12,0.02,1.0,0.21,0.35,0.0,0.31,0.45,0.06,0.19
botsnscouts.csv,0.29,0.4,0.3,0.13,0.39,0.44,0.98,0.06,0.18,0.27,0.14,0.22,0.37,0.0,0.44,0.14,0.19
cities3d.csv,0.43,0.25,0.27,0.96,0.59,0.39,0.31,0.38,0.9,0.37,0.58,0.42,0.1,0.77,0.45,0.71,0.53
dynalloy.csv,0.96,0.36,0.2,0.17,0.68,0.41,0.61,0.5,0.54,0.21,0.63,0.5,0.42,0.71,0.43,0.94,0.71
electric-core.csv,0.41,0.94,0.36,0.24,0.53,0.26,0.47,0.38,0.76,0.21,0.39,0.41,0.15,0.45,0.33,0.1,0.28
findbugs.csv,0.44,0.46,0.42,0.19,0.56,0.44,0.38,0.41,0.5,0.35,0.45,0.49,0.43,0.72,1.0,0.87,0.29
img-browse-sort.csv,0.48,0.39,0.33,0.19,0.5,0.45,0.6,0.5,0.44,0.26,0.55,0.49,1.0,0.54,0.58,0.86,0.22
jparsec.csv,0.41,0.34,0.42,0.09,0.48,0.29,0.55,0.57,0.82,0.18,0.61,0.94,0.42,0.74,0.3,0.07,0.52
moast.csv,0.14,0.04,0.09,0.03,0.0,0.11,0.12,0.48,0.01,0.0,0.14,0.0,0.12,0.0,0.18,1.0,0.0
mptvseries.csv,0.54,0.49,0.0,0.24,1.0,0.47,0.49,0.5,0.49,0.24,0.48,0.57,0.48,0.57,0.6,0.97,0.41
mvnforum.csv,0.33,0.09,0.22,0.04,0.0,0.94,0.12,0.53,0.33,0.0,0.3,0.51,0.0,0.17,0.42,0.03,0.36
nosleepsoftware.csv,0.11,0.47,0.9,0.32,0.12,0.19,0.43,0.35,0.47,0.23,0.33,0.45,0.44,0.47,0.37,0.09,0.46
ogre.csv,0.53,0.35,0.41,0.16,0.58,0.46,0.65,0.53,1.0,0.32,0.71,0.57,0.35,0.8,0.55,0.94,0.81
openfrag.csv,0.53,0.39,0.37,0.19,0.6,0.44,0.65,0.6,0.69,0.37,0.96,0.55,0.44,0.8,0.53,0.96,0.78
qdvdauthor.csv,0.29,0.35,0.29,0.17,0.47,0.56,0.72,0.51,0.68,0.34,0.64,0.5,0.29,0.99,0.39,0.37,0.53
sumatrapdf.csv,0.55,0.39,0.17,0.28,0.71,0.53,0.62,1.0,0.49,0.46,0.69,0.57,0.38,0.66,0.61,0.97,0.56
zxing.csv,0.31,0.45,0.22,0.25,0.42,0.21,0.39,0.0,0.46,0.39,0.46,0.25,0.28,0.63,0.36,0.35,1.0
