,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.14,0.56,0.71,0.75,1.0,1.0,0.73
gisgraphy.csv,0.28,0.26,0.68,0.38,0.5,0.27,1.0
haggle.csv,0.14,0.37,1.0,0.83,0.43,0.45,0.31
java-gnome.csv,0.1,0.68,0.66,0.98,0.28,0.37,0.27
magicwars.csv,0.08,0.99,0.65,0.79,0.3,0.26,0.31
orc.csv,1.0,0.17,0.67,0.68,0.31,0.25,0.42
servicestack.csv,0.15,0.49,0.71,0.75,0.36,1.0,0.28
