,f1,g,recall,precision,pf,wins
apertium.csv,0.355,0.38,0.33999999999999997,0.53,0.215,5
beast-mcmc.csv,0.56,0.615,0.67,0.54,0.52,17
cuberok.csv,0.445,0.45,0.51,0.475,0.43,6
exist.csv,0.52,0.535,0.74,0.44,0.65,11
ingex.csv,0.49,0.48,0.48,0.505,0.445,9
javaprofiler.csv,0.535,0.525,0.76,0.475,0.665,13
jbasic.csv,0.495,0.555,0.79,0.39,0.685,10
jgnash.csv,0.455,0.55,0.585,0.505,0.38,16
jrefactory.csv,0.385,0.44499999999999995,0.53,0.425,0.58,2
jsecurity.csv,0.355,0.315,0.275,0.505,0.22,3
libopenmetaverse.csv,0.515,0.09,0.98,0.43,0.98,1
mobicents.csv,0.525,0.585,0.66,0.435,0.525,14
mp-rechnungs-und-kundenverwaltung.csv,0.48,0.485,0.505,0.545,0.3,15
openefm.csv,0.42,0.49,0.47,0.485,0.39,7
power-architect.csv,0.54,0.5,0.78,0.405,0.74,8
sidekar.csv,0.0,0.0,0.0,0.0,0.0,0
wheat.csv,0.365,0.43,0.395,0.46499999999999997,0.36,4
yarp0.csv,0.545,0.525,0.615,0.48,0.565,12
