,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.18,0.61,0.71,0.49,0.8,0.25,0.73,0.5,0.17,0.36,0.17,0.74
jaolt.csv,0.33,0.58,0.56,0.1,0.54,0.11,0.75,0.48,0.0,0.57,0.32,0.57
jcl.csv,0.2,0.39,0.33,0.37,0.7,0.3,0.61,0.37,0.37,0.46,0.24,0.49
kmess.csv,0.2,0.59,0.33,0.45,0.87,0.22,0.2,0.58,0.2,0.47,0.29,0.74
ossbuild.csv,0.0,0.5,0.55,0.35,0.67,0.46,0.38,0.48,0.56,0.37,0.49,0.53
qgo.csv,0.27,0.85,0.37,0.36,0.89,0.17,0.78,0.51,0.23,0.59,0.34,0.73
quark.csv,0.0,0.42,0.24,0.1,0.24,0.0,0.15,0.31,0.33,0.18,0.58,0.12
rezilla.csv,0.19,0.4,0.1,0.64,0.43,0.05,0.38,0.48,0.18,0.67,0.23,0.59
rhex.csv,0.48,0.63,0.35,0.18,0.65,0.03,0.67,0.51,0.23,0.5,0.3,0.57
toped.csv,0.13,0.58,0.52,0.48,0.91,0.25,0.74,0.43,0.23,0.35,0.32,0.72
truevision.csv,0.21,0.62,0.54,0.52,0.82,0.1,0.7,0.68,0.27,0.47,0.34,0.74
wxstudio.csv,0.27,0.12,0.27,0.1,0.25,0.04,0.47,0.35,0.11,0.71,0.0,0.35
