,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.59,0.4,0.65,0.36,0.43,0.65,0.47,0.66,0.59,0.69,0.73,0.49
jaolt.csv,0.5,0.37,0.6,0.5,0.43,0.83,0.46,0.33,0.67,0.42,0.71,0.38
jcl.csv,0.62,0.91,0.52,0.63,0.46,0.66,0.44,0.62,0.57,0.64,0.6,0.74
kmess.csv,0.62,0.39,0.88,0.71,0.33,0.6,0.89,0.44,0.41,0.48,0.41,0.47
ossbuild.csv,0.91,0.58,0.56,0.8,0.47,0.99,0.78,0.82,0.77,0.68,0.54,0.61
qgo.csv,0.38,0.42,0.34,0.64,0.3,0.35,0.31,0.37,0.34,0.33,0.35,0.35
quark.csv,0.0,0.62,0.95,0.0,0.88,0.0,0.83,0.93,0.82,0.86,0.52,0.83
rezilla.csv,0.49,0.9,0.58,0.56,0.56,0.79,0.7,0.4,0.85,0.41,0.69,0.46
rhex.csv,0.5,0.35,0.8,0.67,0.38,0.97,0.5,0.31,0.42,0.48,0.41,0.41
toped.csv,0.71,0.48,0.54,0.38,0.37,0.51,0.47,0.73,0.43,0.73,0.36,0.52
truevision.csv,0.55,0.41,0.51,0.63,0.38,0.9,0.47,0.52,0.87,0.63,0.88,0.44
wxstudio.csv,0.67,0.67,0.5,0.0,0.86,0.68,0.65,0.49,0.8,0.44,0.8,0.78
