,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.59,0.63,0.29,1.0,0.56,0.6,0.69,0.39,0.62,0.71,0.37,0.76
jaolt.csv,0.22,0.46,0.33,0.02,0.33,0.02,0.52,0.48,0.03,0.16,0.35,0.31
jcl.csv,0.42,0.09,0.36,0.3,0.56,0.42,0.38,0.63,0.29,0.35,0.31,0.31
kmess.csv,0.42,0.37,0.2,0.3,0.44,0.4,0.03,0.3,0.92,0.24,0.77,0.49
ossbuild.csv,0.14,0.34,0.46,0.22,0.44,0.22,0.17,0.17,0.12,0.43,0.29,0.36
qgo.csv,0.79,0.14,0.63,0.2,1.0,0.87,0.76,0.99,0.75,0.55,0.69,0.69
quark.csv,0.0,0.11,0.14,0.0,0.11,0.0,0.0,0.08,0.16,0.06,0.27,0.0
rezilla.csv,0.69,0.06,0.47,0.28,0.33,0.21,0.45,0.75,0.17,0.31,0.19,0.62
rhex.csv,0.28,0.51,0.31,0.02,0.33,0.15,0.76,0.51,0.83,0.16,0.85,0.27
toped.csv,0.4,0.69,0.65,0.95,0.0,0.75,0.62,0.3,0.85,0.69,0.94,0.69
truevision.csv,0.47,0.54,0.47,0.38,0.22,0.04,0.34,0.21,0.24,0.59,0.21,0.62
wxstudio.csv,0.4,0.03,0.49,0.0,0.67,0.31,0.31,0.85,0.04,0.24,0.1,0.38
