,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.62,0.03,0.58,0.67,0.73,0.73,0.79,0.7
emite.csv,0.68,0.71,0.46,0.67,0.95,0.8,0.92,0.07
irrlicht.csv,0.73,0.72,0.59,0.87,0.0,0.95,0.87,0.67
migen.csv,0.04,0.52,0.48,0.52,0.79,0.7,0.73,0.94
motu.csv,0.6,0.71,0.46,0.15,0.82,0.69,0.91,1.0
openxava.csv,0.64,0.84,0.0,0.94,0.72,0.63,0.68,0.9
truevision.csv,0.8,0.88,0.56,0.91,0.55,0.01,0.53,0.85
zoolib.csv,0.94,0.88,1.01,0.93,0.91,0.89,0.29,0.9
