,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.54,0.57,0.49,0.49,0.5,0.52,0.47,0.53,0.42,0.52,0.38,0.41
gmerlin.csv,0.43,0.38,0.56,0.0,0.39,0.0,0.45,0.45,0.0,0.37,0.0,0.4
google-gears.csv,0.44,0.53,0.48,0.46,0.37,0.46,0.47,0.48,0.34,0.5,0.41,0.43
gstreamer.csv,0.42,0.41,0.39,0.4,0.38,0.42,0.38,0.47,0.4,0.43,0.37,0.41
lportal.csv,0.0,0.67,0.5,0.67,0.91,0.74,0.83,0.0,0.56,0.5,0.59,0.8
metacosm.csv,0.83,0.4,0.46,0.9,0.63,0.42,0.53,0.55,0.52,0.58,0.52,0.42
mplayer-ce.csv,0.44,0.61,0.4,0.4,0.53,0.4,0.41,0.46,0.51,0.44,0.57,0.46
openmeetings.csv,0.47,0.54,0.54,0.43,0.5,0.5,0.44,0.58,0.43,0.39,0.35,0.4
qgis.csv,0.46,0.73,0.51,0.0,0.47,0.63,0.73,0.68,0.41,0.47,0.67,0.5
skia.csv,0.42,0.41,0.52,0.36,0.49,0.69,0.58,0.48,0.55,0.43,0.48,0.69
wxcrp.csv,0.47,0.42,0.44,0.39,0.42,0.44,0.37,0.5,0.34,0.44,0.38,0.49
yafdotnet.csv,0.36,0.37,0.4,0.41,0.44,0.39,0.42,0.39,0.46,0.34,0.46,0.38
