,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.55,0.97,0.42,0.65,0.84,0.4
exl.csv,0.45,0.48,0.57,0.43,0.68,0.44
opennms.csv,0.62,0.65,0.64,0.97,0.5,0.62
phet.csv,0.57,0.86,0.86,0.71,0.93,0.89
runuomondains.csv,0.62,0.63,0.46,0.96,0.71,0.41
