,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.38,0.35,0.53,0.46,0.45,0.48,0.47,0.43,0.42,0.68,0.36,0.34,0.4,0.41,0.47,0.31
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.62,0.54,0.5
bionote.csv,0.59,0.36,0.8,0.82,0.86,0.75,0.89,0.59,0.99,0.5,0.86,0.4,0.59,0.49,0.79,0.38
bnetd.csv,0.38,0.39,0.52,0.48,0.68,0.57,0.68,0.39,0.51,0.39,0.45,0.33,0.42,0.39,0.5,0.32
elvishrayrenderer.csv,0.41,0.47,0.0,0.33,0.4,0.56,0.89,0.83,0.99,0.59,0.83,0.4,0.47,0.62,0.49,0.37
emisview.csv,0.69,0.0,0.82,0.69,0.57,0.45,0.88,0.92,0.65,0.0,0.5,0.55,0.68,0.97,0.54,0.0
hazelcast.csv,0.28,0.32,0.43,0.33,0.33,0.28,0.35,0.34,0.34,0.38,0.39,0.3,0.36,0.42,0.39,0.29
jitterbit.csv,0.33,0.36,0.62,0.5,0.39,0.4,0.63,0.73,0.64,0.86,0.43,0.5,0.43,0.44,0.44,0.48
jppf-project.csv,0.38,0.75,0.6,0.78,0.51,0.48,0.44,0.43,0.45,0.79,0.59,0.43,0.66,0.69,0.58,0.61
l2j.csv,0.4,0.32,0.5,0.38,0.38,0.36,0.42,0.47,0.4,0.44,0.43,0.41,0.35,0.47,0.57,0.36
megasquirtavr.csv,0.34,0.39,0.63,0.48,0.41,0.32,0.44,0.49,0.64,0.52,0.42,0.39,0.4,0.41,0.46,0.43
stajistics.csv,0.33,0.53,0.0,0.42,0.35,0.3,0.56,0.5,0.46,0.5,0.74,0.33,0.4,0.44,0.49,0.43
trackit.csv,0.91,0.0,0.81,0.95,0.92,0.91,0.58,0.83,0.71,0.94,0.68,0.5,0.5,0.92,0.81,0.67
wxlua.csv,0.92,0.44,0.62,0.47,0.94,0.94,0.76,0.5,0.76,0.55,0.4,0.71,0.62,0.59,0.95,0.5
x4x.csv,0.46,0.43,0.57,0.44,0.52,0.35,0.46,0.45,0.43,0.63,0.44,0.38,0.46,0.43,0.7,0.43
xharbour.csv,0.34,0.36,0.55,0.5,0.44,0.36,0.51,0.49,0.48,0.62,0.43,0.55,0.56,0.45,0.5,0.38
