,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.25,0.62,0.52,0.22,0.9,0.48,0.54,0.36,0.77,0.53,0.48
emono.csv,0.23,0.51,0.39,0.49,0.6,0.64,0.49,0.54,0.64,0.52,0.67
haggle.csv,0.56,0.64,0.12,0.24,0.0,0.0,0.01,0.14,0.02,0.0,0.02
hannosset.csv,0.0,0.13,0.12,0.0,0.55,0.93,0.33,0.14,0.06,0.2,0.22
jas.csv,0.3,0.38,0.21,0.73,0.69,0.2,0.61,0.96,0.31,0.24,0.36
jgossipforum.csv,0.55,0.45,0.37,0.99,0.74,0.0,0.58,0.0,0.57,0.48,0.35
madman.csv,0.05,0.44,0.3,0.23,0.94,0.37,0.5,0.14,0.25,0.32,0.3
mediate.csv,0.39,0.46,0.63,0.76,0.43,0.35,0.42,0.62,0.61,0.56,0.4
ngl.csv,0.55,0.35,0.57,0.59,0.67,0.43,0.64,0.65,0.68,0.53,0.45
pustefix.csv,0.52,0.53,0.16,0.23,0.55,0.19,0.45,0.49,0.35,0.66,0.61
synecdoche.csv,0.49,0.15,0.46,0.23,0.36,0.53,0.2,0.14,0.45,0.65,0.09
