,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.47,0.46,0.6,0.69,0.35,0.57,0.39,0.71,0.27,0.53,0.31
emono.csv,0.94,0.66,0.87,0.84,0.47,0.74,0.81,0.74,0.49,0.74,0.4
haggle.csv,0.24,0.39,0.17,0.06,0.06,0.09,0.01,0.17,0.08,0.0,0.05
hannosset.csv,0.03,0.07,0.07,0.0,0.1,0.26,0.35,0.38,0.0,0.07,0.24
jas.csv,0.15,0.2,0.27,0.46,0.47,0.38,0.41,0.16,0.43,0.35,0.5
jgossipforum.csv,0.5,0.22,0.3,0.07,0.29,0.45,0.27,0.03,0.3,0.53,0.19
madman.csv,0.16,0.17,0.27,0.41,0.24,0.35,0.28,0.56,0.3,0.3,0.26
mediate.csv,0.27,0.2,0.5,0.61,0.18,0.51,0.16,0.36,0.32,0.4,0.17
ngl.csv,0.77,0.9,0.77,0.43,0.71,0.87,0.29,0.57,0.65,0.74,0.83
pustefix.csv,0.24,0.34,0.13,0.23,0.63,0.7,0.37,0.73,0.43,0.51,0.5
synecdoche.csv,0.47,0.1,0.43,0.43,0.9,0.29,0.3,0.44,0.14,0.19,0.98
