,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.85,0.48,0.5,0.59,0.44,0.36,0.49,0.6,0.44,0.44,0.55
emono.csv,0.42,0.49,0.35,0.47,0.5,0.42,0.49,0.54,0.49,0.42,0.56
haggle.csv,0.48,0.48,0.89,0.93,0.67,0.83,0.5,0.76,0.75,0.0,0.75
hannosset.csv,0.5,0.91,0.83,0.0,0.89,0.79,0.88,0.73,0.5,0.88,0.96
jas.csv,0.87,0.52,0.93,0.55,0.45,0.48,0.46,0.74,0.7,0.57,0.58
jgossipforum.csv,0.48,0.46,0.59,0.95,0.4,0.39,0.44,0.67,0.42,0.35,0.52
madman.csv,0.91,0.44,0.78,0.8,0.5,0.46,0.5,0.72,0.85,0.57,0.59
mediate.csv,0.56,0.44,0.46,0.49,0.67,0.38,0.52,0.77,0.44,0.39,0.57
ngl.csv,0.4,0.49,0.34,0.47,0.4,0.33,0.48,0.45,0.45,0.4,0.45
pustefix.csv,0.65,0.63,0.89,0.79,0.44,0.41,0.6,0.47,0.69,0.49,0.54
synecdoche.csv,0.5,0.92,0.6,0.62,0.4,0.87,0.99,0.58,0.52,0.62,0.43
