,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.9,0.51,0.96,0.75,0.0,0.98,0.88,0.76,0.77,0.92
chaperon.csv,1.0,0.98,0.99,0.0,0.71,0.93,0.98,0.94,0.93,0.89
geotools.csv,0.79,0.98,0.8,1.01,0.89,0.89,0.06,0.93,0.93,0.77
l2j.csv,0.61,0.54,0.83,0.77,0.62,0.56,0.61,0.57,0.01,0.58
mule.csv,0.04,0.76,0.83,0.76,0.55,0.6,0.55,0.77,0.77,0.64
nunit.csv,0.6,0.88,0.83,1.01,0.7,0.69,0.84,0.88,0.62,0.1
primefaces.csv,0.85,0.5,0.94,0.83,1.11,0.98,0.7,0.03,0.67,0.73
springside.csv,0.6,0.02,0.82,0.62,0.65,0.62,0.66,0.72,0.69,0.67
swtfox.csv,0.79,0.9,0.03,1.09,0.62,0.92,0.71,0.67,0.85,0.78
twostep.csv,0.68,0.85,0.81,0.71,0.62,0.04,0.55,0.92,0.64,0.49
