,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.76,0.59,0.52,0.15,1.0,0.53,0.46,0.64,0.72,0.36
chaperon.csv,0.0,0.04,0.04,1.0,0.5,0.12,0.04,0.12,0.12,0.14
geotools.csv,0.34,0.04,0.3,0.0,0.19,0.18,0.96,0.13,0.13,0.27
l2j.csv,0.7,0.51,0.42,0.14,0.59,0.53,0.42,0.64,1.0,0.38
mule.csv,0.98,0.34,0.27,0.18,0.62,0.5,0.48,0.38,0.38,0.36
nunit.csv,0.56,0.2,0.26,0.0,0.47,0.44,0.21,0.21,0.56,0.95
primefaces.csv,0.66,0.61,0.54,0.11,0.65,0.51,0.46,0.99,0.74,0.36
springside.csv,0.67,0.99,0.46,0.18,0.73,0.54,0.47,0.63,0.52,0.33
swtfox.csv,0.45,0.4,0.99,0.05,0.59,0.14,0.39,0.7,0.41,0.24
twostep.csv,0.64,0.39,0.33,0.13,0.59,0.98,0.48,0.49,0.58,0.44
