,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.36,0.74,0.2,0.57,1.0,0.09,0.4,0.55,0.55,0.3
chaperon.csv,0.0,0.02,0.02,1.0,0.38,0.1,0.02,0.1,0.09,0.14
geotools.csv,0.26,0.02,0.26,0.0,0.13,0.15,0.95,0.1,0.09,0.29
l2j.csv,0.66,0.56,0.48,0.29,0.47,0.51,0.52,0.6,0.99,0.53
mule.csv,0.97,0.28,0.29,0.29,0.51,0.58,0.55,0.32,0.29,0.44
nunit.csv,0.5,0.15,0.26,0.0,0.35,0.36,0.22,0.15,0.46,0.92
primefaces.csv,0.46,0.76,0.24,0.45,0.0,0.09,0.62,0.98,0.62,0.6
springside.csv,0.63,0.98,0.5,0.66,0.57,0.64,0.65,0.56,0.43,0.57
swtfox.csv,0.41,0.42,0.98,0.24,0.47,0.1,0.55,0.64,0.34,0.4
twostep.csv,0.58,0.46,0.37,0.5,0.47,0.97,0.62,0.4,0.5,0.67
