,id,count_recall,count_precision,count_pf,cdom_score,bellwether
55,2,1,2,2,1,mclient-mume.csv
51,3,1,2,5,5,jam-daq.csv
49,4,8,6,10,19,mp-rechnungs-und-kundenverwaltung.csv
57,5,1,2,4,5,nunit.csv
24,6,5,6,5,10,autofac.csv
19,7,3,7,16,18,piccolo2d.csv
29,8,3,6,4,10,synecdoche.csv
27,10,1,0,1,0,atunes.csv
18,11,1,1,4,3,fluent-nhibernate.csv
56,13,0,2,1,2,amanda.csv
58,14,10,10,7,18,bibedt.csv
50,15,2,6,13,15,openmeetings.csv
21,16,0,5,10,9,jfreereport.csv
26,17,1,2,3,2,yafdotnet.csv
16,18,3,1,0,2,lmms.csv
28,19,3,3,7,9,oscarmcmaster.csv
15,20,4,1,4,5,voms.csv
30,21,8,5,8,15,phonon-vlc-mplayer.csv
59,22,2,2,5,5,wow-qrsk.csv
17,27,0,1,7,6,haphazard.csv
25,28,2,3,10,12,stuproa-cims.csv
20,29,1,5,11,14,jmri.csv
39,30,3,15,18,17,fbmanager.csv
6,32,1,5,10,9,quark.csv
14,33,1,4,10,9,m-a-d-n-e-s-s.csv
13,34,4,2,1,3,jajuk.csv
7,35,4,10,18,19,acdk.csv
34,36,0,9,17,16,reaper-ecad.csv
40,37,3,4,9,10,sepgsql.csv
33,38,6,6,8,15,zildo.csv
41,39,2,2,8,6,rtb-team.csv
53,40,5,1,3,8,applet2app.csv
47,41,2,2,5,4,adaptagrams.csv
22,42,1,4,6,5,genoviz.csv
32,43,3,4,6,7,etics.csv
31,44,1,3,5,5,kmess.csv
23,45,1,2,5,4,tolven.csv
46,46,2,6,8,10,modellus.csv
54,47,2,6,13,17,ktc.csv
48,48,4,4,10,11,popeye-chess.csv
52,49,4,9,9,14,delphilhlplib.csv
3,50,1,5,12,12,ftm.csv
42,52,4,2,2,6,mb-unit.csv
38,53,3,3,14,15,mia.csv
37,54,2,1,2,2,graphmak.csv
43,55,0,2,10,9,jvcl.csv
9,56,2,1,5,7,ossim.csv
5,57,3,7,14,16,opengs.csv
10,58,5,4,6,12,rohxel.csv
1,59,1,7,18,18,aubit4gl.csv
12,60,2,1,3,4,nug.csv
0,61,1,1,12,16,ctrlr.csv
36,62,5,1,1,5,plplot.csv
44,63,2,9,16,15,mvdsv.csv
45,64,1,1,5,5,alembik.csv
35,65,1,2,10,12,skia.csv
2,66,2,1,1,1,silvertree.csv
11,67,4,9,8,15,atomsite.csv
4,68,1,1,8,8,continuum-ide.csv
8,69,0,0,2,1,thrust.csv
