,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.29,0.64,0.5,0.41,0.23,0.97,0.33,0.45,0.16,0.21,0.36,0.37,0.15
bdbbasic.csv,0.58,0.64,0.5,0.51,0.36,0.76,0.29,0.46,0.95,0.57,0.72,0.53,0.52
echongl.csv,0.74,0.41,0.62,0.69,0.82,0.57,0.39,0.34,1.0,0.99,0.45,0.74,0.62
etherboot.csv,0.74,0.55,0.06,0.18,1.0,0.27,0.41,0.53,0.47,0.29,0.32,0.32,0.56
freebios.csv,0.65,0.73,0.5,0.46,0.5,0.54,1.0,0.54,0.74,0.56,0.7,0.74,0.5
gebr.csv,0.84,0.91,0.69,0.69,0.82,0.97,0.61,0.98,0.89,0.99,0.94,0.58,0.83
gnukeda.csv,0.61,0.45,0.25,1.0,0.55,0.62,0.33,0.42,0.16,0.28,0.47,0.74,0.61
google-gears.csv,0.87,0.73,0.62,0.69,0.82,0.73,0.84,0.95,0.89,0.82,0.94,0.79,0.97
jnode.csv,0.0,0.14,0.94,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04
openmeetings.csv,0.32,1.0,0.38,0.08,0.18,0.35,0.06,0.42,0.26,0.21,0.55,0.26,0.12
pgui.csv,0.35,0.41,0.19,0.33,0.36,0.22,0.2,0.4,0.26,0.31,0.98,0.42,0.32
tradelink.csv,0.32,0.0,0.0,0.21,0.27,0.54,0.24,0.02,0.63,0.59,0.51,1.0,0.21
wxcrp.csv,0.94,0.55,0.75,0.15,0.14,0.11,0.08,0.29,0.05,0.08,0.21,0.32,0.2
