,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.47,0.29,0.07,0.76,0.25,0.97,0.5,0.94,1.0,0.58,0.33,0.28,0.86
bdbbasic.csv,0.37,0.4,0.05,0.8,0.3,0.46,0.4,0.87,1.0,0.7,0.38,0.33,0.88
echongl.csv,0.27,0.1,0.04,0.55,0.29,0.23,0.46,0.72,0.31,1.0,0.26,0.26,0.74
etherboot.csv,0.32,0.12,0.02,0.5,1.0,0.23,0.43,0.63,0.2,0.59,0.26,0.15,0.73
freebios.csv,0.34,0.38,0.04,0.47,0.26,0.41,1.0,0.67,0.38,0.83,0.34,0.3,0.72
gebr.csv,0.28,0.15,0.04,0.6,0.28,0.35,0.43,0.98,0.31,0.73,0.3,0.17,0.79
gnukeda.csv,0.34,0.15,0.02,1.0,0.27,0.47,0.42,0.71,0.5,0.76,0.32,0.24,0.76
google-gears.csv,0.34,0.31,0.08,0.54,0.28,0.31,0.46,0.71,0.31,0.68,0.28,0.25,0.97
jnode.csv,0.0,0.33,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.56
openmeetings.csv,0.5,1.0,0.09,0.6,0.31,0.62,0.75,0.89,1.0,0.66,0.4,0.5,0.93
pgui.csv,0.3,0.19,0.05,0.68,0.26,0.33,0.62,0.8,0.42,0.7,1.0,0.26,0.73
tradelink.csv,0.45,0.0,0.0,1.0,0.32,0.29,0.5,1.0,0.48,0.92,0.29,1.0,0.96
wxcrp.csv,1.0,0.29,0.08,1.0,0.3,0.4,1.0,0.78,1.0,0.73,0.71,0.43,0.88
