,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.52,0.49,0.46,0.61,0.89,0.67,0.04,0.2,0.26,0.34,0.87,0.53
emulemorph.csv,0.0,0.0,0.0,0.3,0.03,0.0,0.08,0.0,0.0,0.04,0.13,0.0
fulguro.csv,0.9,0.33,0.56,0.0,0.38,0.54,0.56,0.8,0.0,0.21,0.29,0.56
fw4spl.csv,0.2,0.26,0.24,0.12,0.43,0.22,0.52,0.0,0.68,0.2,0.49,0.47
gnome-jabber.csv,0.57,0.54,0.62,0.66,0.62,0.48,0.88,0.2,0.79,0.65,0.61,0.62
ipfilter.csv,0.7,0.69,0.68,0.93,0.38,0.87,0.76,1.0,0.11,0.82,0.76,0.75
ipfire-wall.csv,0.55,0.08,0.27,0.39,0.3,0.43,0.92,0.0,0.16,0.39,0.33,0.28
libmesh.csv,0.18,0.18,0.59,0.3,0.49,0.41,0.2,0.0,0.05,0.32,0.48,0.56
rockbox.csv,0.15,0.21,0.19,0.16,0.22,0.43,0.6,0.2,0.11,0.35,0.56,0.25
soar.csv,0.9,1.0,0.83,1.0,1.0,1.0,0.2,1.0,0.84,0.86,1.0,1.0
tencompetence.csv,0.28,0.15,0.37,0.45,0.22,0.74,0.56,0.6,0.0,0.29,0.28,0.22
xbrlapi.csv,0.4,0.03,0.24,0.47,0.19,0.37,0.8,0.0,0.0,0.27,0.33,0.03
