,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.32,0.53,0.83,0.46,0.54,0.46,0.62,0.36,0.75,0.43,0.5,0.75,0.52,0.96,0.66,0.46
elateportal.csv,0.33,0.49,0.48,0.39,0.52,0.46,0.46,0.36,0.38,0.39,0.49,0.31,0.42,0.49,0.74,0.58
gmerlin.csv,0.31,0.39,0.0,0.0,0.0,0.46,0.7,0.0,0.46,0.33,0.0,0.3,0.4,0.0,0.88,0.43
gretl.csv,0.34,0.44,0.62,0.41,0.46,0.73,0.49,0.37,0.38,0.43,0.42,0.4,0.39,0.47,0.55,0.4
illumination.csv,0.5,0.4,0.0,0.0,0.0,0.49,0.88,0.0,0.5,0.65,0.0,0.3,0.53,0.0,0.96,0.44
mpgravity.csv,0.32,0.41,0.6,0.41,0.88,0.47,0.48,0.34,0.42,0.35,0.61,0.29,0.38,0.67,0.52,0.43
nativeclient.csv,0.39,0.48,0.37,0.38,0.45,0.59,0.62,0.41,0.56,0.44,0.48,0.83,0.42,0.5,0.53,0.4
natpad.csv,0.33,0.81,0.67,0.36,0.46,0.45,0.45,0.36,0.43,0.35,0.44,0.53,0.4,0.4,0.51,0.38
ogre.csv,0.83,0.41,0.38,0.63,0.45,0.9,0.64,0.4,0.48,0.38,0.47,0.3,0.49,0.75,0.52,0.5
open-ms.csv,0.88,0.47,0.35,0.7,0.4,0.78,0.74,0.3,0.4,0.52,0.48,0.38,0.6,0.77,0.78,0.89
openmsx.csv,0.5,0.55,0.79,0.93,0.53,0.47,0.73,0.52,0.62,0.62,0.68,0.69,0.5,0.0,0.98,0.95
oppna-program-hsatools.csv,0.81,0.43,0.38,0.36,0.41,0.56,0.68,0.32,0.39,0.41,0.42,0.56,0.41,0.39,0.49,0.47
sandiaportals.csv,0.33,0.61,0.8,0.46,0.97,0.49,0.66,0.79,0.61,0.51,0.59,0.0,0.44,0.8,0.71,0.42
sauerbraten.csv,0.38,0.4,0.38,0.44,0.42,0.39,0.4,0.36,0.37,0.37,0.39,0.28,0.39,0.44,0.49,0.43
yarp.csv,0.83,0.65,0.0,0.67,0.97,0.58,0.91,0.88,0.0,0.55,0.82,0.0,0.0,0.67,0.97,0.0
zemljanka.csv,0.36,0.4,0.86,0.5,0.49,0.47,0.43,0.36,0.4,0.4,0.45,0.31,0.52,0.48,0.53,0.45
