,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.61,0.65,0.36,0.48
n2cms.csv,0.5,0.36,0.34,0.35
nassp.csv,0.94,0.86,0.56,0.5
nug.csv,0.39,0.68,0.65,0.5
