,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.17,0.44,0.21,0.15,0.41,0.52,0.58,0.42,0.5,0.29,1.0,0.25
archive-crawler.csv,0.18,0.41,0.26,0.12,0.62,0.75,0.78,0.76,0.47,1.0,0.22,0.15
blue-c.csv,0.24,0.39,0.16,0.16,0.51,1.0,0.65,0.52,0.53,0.3,0.45,0.24
dynalloy.csv,0.11,0.98,0.03,0.16,0.42,0.49,0.54,0.38,0.64,0.29,0.26,0.2
jcae.csv,0.33,0.33,1.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.8,0.0
kmatplot.csv,1.0,0.41,0.1,0.33,0.71,0.69,0.73,0.71,0.57,0.22,0.33,0.36
mscore.csv,0.25,0.42,0.15,0.26,0.65,0.8,0.99,0.61,0.55,0.3,0.48,0.28
nosleepsoftware.csv,0.42,0.14,0.09,1.0,0.44,0.15,0.72,0.57,0.5,0.28,0.22,0.31
openmalaria.csv,0.25,0.35,0.14,0.25,0.71,0.78,0.7,1.0,0.55,0.35,0.39,0.19
popeye-chess.csv,0.25,0.38,0.15,0.4,0.97,0.64,0.82,0.64,0.62,0.35,0.34,0.28
riff-evolve.csv,0.17,0.39,0.15,0.07,0.33,0.75,0.74,0.59,1.0,0.29,0.56,0.11
virtuoso.csv,0.25,0.35,0.12,0.26,0.77,0.55,0.67,0.48,0.49,0.28,0.55,1.0
