,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.89,0.34,1.0,1.0,0.96,0.84,0.95
l2j.csv,1.0,0.6,0.67,0.48,0.91,0.49,1.06
libmesh.csv,0.93,0.96,1.01,0.97,0.5,0.94,1.0
mvdsv.csv,0.76,1.0,0.03,0.64,0.97,0.99,1.0
nova.csv,0.32,0.66,1.14,0.95,0.66,0.81,0.65
proftp.csv,1.0,0.67,1.0,0.31,0.89,0.92,1.01
