,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.25,1.0,0.3,0.94,0.79,0.64,0.76,0.69,0.76,0.98
aztec.csv,0.2,0.83,0.33,0.4,0.5,0.54,0.45,0.11,0.15,0.75,0.81
bl-toolkit.csv,0.76,0.92,0.33,1.0,0.97,0.52,1.0,0.4,0.69,0.42,1.0
clamav.csv,0.22,0.38,1.0,0.65,0.69,0.69,0.17,0.6,0.81,0.26,0.61
fm-classic.csv,0.06,0.0,1.0,0.0,0.06,0.25,0.19,0.0,0.04,0.08,0.08
kml.csv,0.74,0.96,1.0,0.65,0.75,0.97,0.74,0.62,0.69,0.96,0.99
lufa-lib.csv,0.78,0.67,0.33,0.7,0.69,0.57,0.68,0.51,0.69,0.86,0.37
mplayer-ce.csv,0.7,0.33,1.0,0.2,0.67,0.81,0.42,0.7,0.73,0.91,0.56
qmmp.csv,0.54,0.67,1.0,0.6,0.67,0.72,0.91,0.65,0.5,0.85,0.9
xapian.csv,0.76,0.42,1.0,0.2,0.47,0.82,0.83,0.56,0.62,0.24,0.66
xtreemfs.csv,0.68,0.88,0.33,0.9,0.86,0.76,0.83,0.29,0.31,0.85,0.99
