,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.42,0.95,0.3,0.92,0.37,0.48,0.61,0.46,0.53,0.39,0.37
aztec.csv,0.85,0.81,0.86,0.55,0.61,0.52,0.54,0.9,0.75,0.43,0.38
bl-toolkit.csv,0.44,0.44,0.87,0.39,0.37,0.56,0.52,0.81,0.47,0.55,0.37
clamav.csv,0.69,0.43,0.29,0.47,0.38,0.4,0.68,0.39,0.38,0.6,0.4
fm-classic.csv,0.8,0.0,0.89,0.0,0.8,0.91,0.97,0.0,0.0,0.97,0.97
kml.csv,0.52,0.45,0.39,0.47,0.46,0.39,0.53,0.44,0.57,0.31,0.37
lufa-lib.csv,0.53,0.92,0.52,0.52,0.48,0.61,0.74,0.62,0.51,0.37,0.7
mplayer-ce.csv,0.52,0.67,0.3,0.83,0.45,0.42,0.63,0.43,0.58,0.34,0.54
qmmp.csv,0.59,0.45,0.61,0.57,0.45,0.45,0.62,0.56,0.7,0.35,0.39
xapian.csv,0.53,0.52,0.3,0.9,0.67,0.48,0.61,0.6,0.76,0.68,0.52
xtreemfs.csv,0.55,0.62,0.91,0.4,0.37,0.48,0.54,0.81,0.94,0.38,0.38
