,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.3,0.32,0.71,0.51,0.65,0.73,0.26,0.41,0.24,0.15,0.15,0.24,0.57,0.09,0.29,0.54,0.51,0.62,0.04
autofac.csv,0.64,0.53,0.25,0.74,0.37,0.57,0.51,0.44,0.3,0.16,0.18,0.42,0.48,0.14,0.22,0.65,0.3,0.79,0.0
avisynth2.csv,0.35,0.34,0.33,0.22,0.0,0.05,0.19,0.05,0.17,0.0,0.0,0.26,0.23,0.75,0.0,0.14,0.18,0.09,0.0
azureus.csv,0.89,0.57,0.73,0.62,0.49,0.85,0.45,0.5,0.52,0.15,0.26,0.65,0.76,0.1,0.19,0.54,0.46,0.98,0.1
dsworkbench.csv,0.52,0.7,0.8,0.44,0.4,0.45,0.0,0.25,0.49,0.21,0.14,0.17,0.26,0.08,0.22,0.49,0.34,0.46,0.0
forester-atv.csv,0.8,0.64,0.56,0.36,0.23,0.47,0.48,0.22,0.6,0.15,0.26,0.41,0.69,0.21,0.27,0.3,0.24,0.61,0.0
freelords.csv,0.87,0.59,0.8,0.62,0.53,0.74,0.57,0.5,0.59,0.2,0.36,0.42,0.4,0.11,0.3,0.62,0.46,0.83,0.08
gabel.csv,0.05,0.53,0.54,0.39,0.47,0.32,0.59,0.4,0.36,0.47,0.15,0.43,0.7,0.12,0.2,0.14,0.34,0.41,0.11
geotools.csv,0.83,0.59,0.7,0.61,0.59,0.56,0.45,0.41,0.51,0.16,0.31,0.44,0.78,0.12,0.29,0.67,0.52,0.72,0.17
google-collections.csv,0.9,0.56,0.86,0.64,0.71,0.84,0.45,0.51,0.55,0.15,0.32,0.42,0.83,0.09,0.22,0.54,0.44,0.98,0.11
jpaul.csv,0.57,0.56,0.69,0.41,0.0,0.11,0.7,0.32,0.39,0.32,0.24,0.33,0.42,0.16,0.27,0.5,0.33,0.27,0.0
mycila.csv,0.94,0.43,0.82,0.6,0.66,0.63,0.34,0.35,0.48,0.19,0.52,0.43,0.68,0.04,0.2,0.34,0.42,0.64,0.13
neodatis-odb.csv,0.36,0.51,0.27,0.4,0.17,0.16,0.22,0.67,0.41,0.0,0.47,0.28,0.18,0.11,0.3,0.14,0.19,0.75,0.0
octet.csv,0.72,0.46,0.55,0.49,0.35,0.38,0.35,0.49,0.43,0.14,0.26,0.32,0.38,0.1,0.45,0.64,0.39,0.83,0.11
pokenetonline.csv,0.72,0.57,0.87,0.63,0.72,0.83,0.42,0.52,0.6,0.16,0.32,0.43,0.8,0.09,0.22,0.54,0.46,0.96,0.14
rcp-company-uibindings.csv,0.79,0.55,0.82,0.53,0.4,0.71,0.52,0.35,0.41,0.15,0.34,0.47,0.35,0.15,0.13,0.64,0.46,0.93,0.08
scenemonitor.csv,0.4,0.47,0.86,0.56,0.58,0.59,0.56,0.39,0.73,0.24,0.32,0.45,0.75,0.0,0.36,0.6,0.39,0.57,0.14
thedata.csv,0.89,0.65,0.66,0.6,0.43,0.66,0.35,0.47,0.51,0.12,0.36,0.39,0.43,0.06,0.16,0.35,0.35,0.82,0.62
twostep.csv,0.05,0.65,0.77,0.62,0.46,0.55,0.53,0.42,0.67,0.27,0.37,0.48,0.79,0.09,0.35,0.8,0.47,0.67,0.06
