,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.82,0.9,0.71,0.71,0.48,0.5,0.81,0.87,0.86,0.68,0.87,0.83,0.62,0.98,0.54,0.87,0.59,0.58,1.08
autofac.csv,0.72,0.82,0.86,0.35,0.77,0.71,0.51,0.83,0.81,0.66,0.95,0.63,0.71,0.61,0.67,0.41,0.78,0.45,1.04
avisynth2.csv,0.79,0.76,0.8,0.87,1.0,0.97,0.88,0.97,0.9,1.0,1.0,0.78,0.87,0.03,1.0,0.92,0.89,0.95,1.0
azureus.csv,0.2,1.0,0.86,1.0,0.81,0.96,1.0,0.99,0.76,0.98,0.93,0.33,0.58,0.92,1.01,1.0,0.87,0.7,0.89
dsworkbench.csv,0.65,0.36,0.46,0.7,0.73,0.71,1.02,0.83,0.6,0.76,0.9,0.89,0.85,0.84,0.86,0.59,0.71,0.71,1.0
forester-atv.csv,0.6,0.43,0.67,0.76,0.87,0.77,0.55,0.87,0.57,0.77,0.72,0.83,0.82,0.35,0.72,0.79,0.83,1.05,1.0
freelords.csv,0.55,0.9,0.5,0.61,0.76,0.56,0.46,0.7,0.78,0.61,0.67,0.91,0.75,0.81,0.53,0.45,0.79,0.94,0.81
gabel.csv,0.97,0.59,0.63,0.76,0.68,0.81,0.42,0.74,0.76,0.21,0.87,0.64,0.63,0.69,0.75,0.92,0.71,0.75,0.71
geotools.csv,0.58,0.73,0.77,0.6,0.72,0.64,0.58,0.83,0.62,0.67,0.64,0.73,0.67,0.68,0.72,0.4,0.48,0.82,0.53
google-collections.csv,0.19,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.95,0.84,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.78,0.59,0.78,0.71,1.0,0.96,0.29,0.76,0.71,0.36,0.8,0.72,0.77,0.5,0.62,0.62,0.76,0.85,1.01
mycila.csv,1.0,0.67,0.71,0.89,0.95,0.7,0.81,0.76,0.96,0.75,0.37,0.61,0.67,0.94,0.78,0.96,0.63,0.87,0.85
neodatis-odb.csv,1.27,0.72,0.84,0.74,0.9,0.92,0.86,0.37,0.71,1.06,0.6,0.78,0.9,0.63,0.6,0.92,0.87,0.63,1.0
octet.csv,1.09,0.73,0.69,0.81,0.78,0.77,0.74,0.58,0.66,0.71,0.72,0.75,0.78,0.87,0.35,0.56,0.64,0.66,0.78
pokenetonline.csv,0.44,0.97,0.94,0.97,0.96,0.83,0.96,0.93,0.69,0.95,0.79,0.88,0.35,1.0,1.0,1.0,0.92,0.9,0.79
rcp-company-uibindings.csv,0.35,0.71,0.65,0.6,0.79,0.64,0.49,0.85,0.69,0.7,0.6,0.53,0.79,0.48,0.82,0.41,0.56,0.14,0.81
scenemonitor.csv,0.75,0.66,0.88,0.56,0.57,0.58,0.49,0.8,0.31,0.49,0.64,0.67,0.86,1.0,0.72,0.48,0.64,0.67,0.79
thedata.csv,1.02,0.52,0.56,0.79,0.91,0.78,0.9,0.68,1.0,0.78,0.67,0.75,0.74,0.82,0.86,0.92,0.75,1.04,0.08
twostep.csv,0.97,0.65,0.73,0.78,0.68,0.65,0.49,0.8,0.42,0.48,0.72,0.54,0.59,0.71,0.49,0.22,0.62,0.58,0.88
