,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.22,0.13,0.0,0.82,0.32,0.12,0.16,0.6,0.31,0.31
arsenal-1.csv,0.78,0.35,0.7,0.05,0.24,0.11,0.4,0.2,0.24,0.17
barracudamvc.csv,0.75,0.91,0.96,0.86,0.96,0.89,1.0,0.93,0.93,0.91
irplus.csv,0.6,0.83,0.22,0.86,0.68,0.42,0.64,0.87,0.69,0.54
lite.csv,0.55,0.3,0.59,0.23,0.4,0.46,0.44,0.73,0.4,0.49
mumble.csv,0.63,0.91,0.48,0.09,0.88,0.76,0.6,0.53,0.31,0.66
ontopia.csv,0.16,0.74,0.22,0.45,0.84,0.79,0.2,0.67,0.86,0.91
openintents.csv,0.2,0.7,0.26,1.0,0.4,0.28,0.8,0.73,0.67,0.77
ta3d.csv,0.32,0.13,0.81,0.05,0.08,0.24,0.2,0.0,0.07,0.57
tweetsharp.csv,0.36,0.61,0.85,0.82,0.68,0.53,0.48,0.8,0.76,0.51
