,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.73,0.89,0.0,0.37,0.83,0.92,0.83,0.39,0.47,0.43
arsenal-1.csv,0.34,0.55,0.46,0.83,0.78,0.92,0.67,0.86,0.73,0.83
barracudamvc.csv,0.42,0.31,0.36,0.35,0.4,0.38,0.33,0.33,0.42,0.44
irplus.csv,0.32,0.27,0.7,0.31,0.38,0.38,0.43,0.28,0.28,0.31
lite.csv,0.39,0.52,0.37,0.88,0.66,0.4,0.5,0.46,0.52,0.61
mumble.csv,0.41,0.3,0.41,0.8,0.5,0.39,0.39,0.5,0.58,0.33
ontopia.csv,0.91,0.33,0.73,0.54,0.42,0.42,0.87,0.37,0.47,0.41
openintents.csv,0.88,0.38,0.53,0.3,0.58,0.59,0.35,0.38,0.52,0.51
ta3d.csv,0.6,0.86,0.4,0.0,0.94,0.6,0.89,0.8,0.67,0.57
tweetsharp.csv,0.79,0.52,0.46,0.36,0.47,0.67,0.57,0.36,0.49,0.52
