,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.88,0.33,0.0,0.67,0.67,0.75,0.67,0.39,0.76,0.79
arsenal-1.csv,0.8,0.4,0.68,0.17,0.33,0.62,0.67,0.43,0.91,1.0
barracudamvc.csv,0.95,0.44,0.46,0.4,0.28,0.88,0.37,0.27,0.75,0.67
irplus.csv,0.82,0.42,0.6,0.49,0.44,0.8,0.53,0.33,0.74,0.73
lite.csv,0.81,0.33,0.53,0.62,0.23,0.74,0.46,0.42,0.74,0.74
mumble.csv,0.88,0.42,0.41,0.4,0.69,0.88,0.33,0.31,0.68,0.77
ontopia.csv,0.74,0.4,0.55,0.42,0.36,0.94,0.33,0.29,0.8,0.7
openintents.csv,0.88,0.55,0.37,0.55,0.17,0.78,0.39,0.38,0.67,0.66
ta3d.csv,0.76,0.43,0.44,1.0,0.11,0.72,0.56,0.0,1.0,0.71
tweetsharp.csv,0.9,0.52,0.5,0.41,0.4,0.95,0.34,0.24,0.91,0.67
