,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.26,0.16,0.0,0.8,0.37,0.14,0.19,0.61,0.35,0.35
arsenal-1.csv,0.0,0.38,0.7,0.06,0.28,0.13,0.45,0.24,0.28,0.2
barracudamvc.csv,0.76,0.5,0.13,0.23,0.13,0.69,0.21,0.35,0.42,0.0
irplus.csv,0.5,0.52,0.26,0.67,0.68,0.42,0.65,0.68,0.57,0.54
lite.csv,0.47,0.33,0.58,0.27,0.41,0.32,0.48,0.71,0.43,0.51
mumble.csv,0.61,0.39,0.46,0.11,0.87,0.66,0.5,0.54,0.34,0.64
ontopia.csv,0.19,0.52,0.26,0.47,0.7,0.77,0.23,0.59,0.7,0.39
openintents.csv,0.24,0.68,0.29,0.78,0.35,0.31,0.6,0.69,0.25,0.37
ta3d.csv,0.34,0.16,0.33,0.06,0.1,0.27,0.24,0.0,0.09,0.55
tweetsharp.csv,0.4,0.61,0.58,0.45,0.66,0.57,0.48,0.26,0.77,0.49
