,pci_20
jchassis.csv,0.47
doomlegacy.csv,0.3
bzbyte.csv,0.38
fmri-dmt.csv,0.46
v8.csv,0.36
servicestack.csv,0.92
carabiner.csv,0.57
gephex.csv,0.75
mediaportal.csv,0.37
gnome-jabber.csv,0.37
fityk.csv,0.4
mecat.csv,0.34
ngl.csv,0.47
codepurge.csv,0.79
jcl.csv,0.34
bigdata.csv,0.4
salasaga.csv,0.43
ondex.csv,0.45
jas.csv,0.5
qdvdauthor.csv,0.37
gmerlin.csv,0.39
wsmt.csv,0.56
xqilla.csv,0.34
jstock.csv,0.67
poormans.csv,0.69
kolmafia.csv,0.39
synergyspace.csv,0.59
nebuladevice.csv,0.4
findbugs.csv,0.41
qmmp.csv,0.79
wxstudio.csv,0.47
free-evolution.csv,0.57
xapian.csv,0.44
quark.csv,0.33
les-indemodables.csv,0.5
mesa3d.csv,0.43
simplewebservices.csv,0.38
illumination.csv,0.44
wxjs.csv,0.35
ambulant.csv,0.57
kmess.csv,0.37
fleet-simulator.csv,0.86
tradelink.csv,0.74
opendvr.csv,0.56
pi-qmc.csv,0.56
google-gears.csv,0.44
bibletime.csv,0.38
ipfilter.csv,0.42
glelite.csv,0.48
hibernate.csv,0.67
keyczar.csv,0.75
oscarmcmaster.csv,0.49
passwordsafe.csv,0.41
primefaces.csv,0.54
xtreemfs.csv,0.57
pixel-commandos.csv,0.64
open-ms.csv,0.44
pnotepad.csv,0.39
qedo.csv,0.44
tigermud.csv,0.44
mevenide.csv,0.46
xcf.csv,0.62
ninject.csv,0.51
xinity.csv,0.29
xmoto.csv,0.4
coot.csv,0.38
emite.csv,0.92
gss.csv,0.7
icescrum.csv,0.39
