,f1
jchassis.csv,0.07
doomlegacy.csv,0.73
bzbyte.csv,0.8
fmri-dmt.csv,0.12
v8.csv,0.77
servicestack.csv,0.14
carabiner.csv,0.4
gephex.csv,0.47
mediaportal.csv,0.37
gnome-jabber.csv,0.57
fityk.csv,0.62
mecat.csv,0.14
ngl.csv,0.61
codepurge.csv,0.18
jcl.csv,0.24
bigdata.csv,0.67
salasaga.csv,0.36
ondex.csv,0.28
jas.csv,0.11
qdvdauthor.csv,0.63
gmerlin.csv,0.5
wsmt.csv,0.24
xqilla.csv,0.06
jstock.csv,0.4
poormans.csv,0.54
kolmafia.csv,0.64
synergyspace.csv,0.22
nebuladevice.csv,0.25
findbugs.csv,0.48
qmmp.csv,0.34
wxstudio.csv,0.44
free-evolution.csv,0.31
xapian.csv,0.46
quark.csv,0.41
les-indemodables.csv,0.6
mesa3d.csv,0.34
simplewebservices.csv,0.59
illumination.csv,0.35
wxjs.csv,0.22
ambulant.csv,0.6
kmess.csv,0.73
fleet-simulator.csv,0.23
tradelink.csv,0.33
opendvr.csv,0.43
pi-qmc.csv,0.52
google-gears.csv,0.7
bibletime.csv,0.82
ipfilter.csv,0.8
glelite.csv,0.75
hibernate.csv,0.38
keyczar.csv,0.08
oscarmcmaster.csv,0.41
passwordsafe.csv,0.6
primefaces.csv,0.47
xtreemfs.csv,0.52
pixel-commandos.csv,0.21
open-ms.csv,0.4
pnotepad.csv,0.85
qedo.csv,0.08
tigermud.csv,0.35
mevenide.csv,0.4
xcf.csv,0.49
ninject.csv,0.15
xinity.csv,0.65
xmoto.csv,0.65
coot.csv,0.74
emite.csv,0.33
gss.csv,0.45
icescrum.csv,0.57
