,precision
jchassis.csv,0.04
doomlegacy.csv,0.77
bzbyte.csv,0.86
fmri-dmt.csv,0.08
v8.csv,0.95
servicestack.csv,0.17
carabiner.csv,0.39
gephex.csv,0.75
mediaportal.csv,0.25
gnome-jabber.csv,0.97
fityk.csv,0.77
mecat.csv,0.07
ngl.csv,0.58
codepurge.csv,0.14
jcl.csv,0.14
bigdata.csv,0.91
salasaga.csv,0.22
ondex.csv,0.19
jas.csv,0.06
qdvdauthor.csv,0.73
gmerlin.csv,0.38
wsmt.csv,0.38
xqilla.csv,0.03
jstock.csv,0.42
poormans.csv,0.59
kolmafia.csv,0.71
synergyspace.csv,0.18
nebuladevice.csv,0.17
findbugs.csv,0.44
qmmp.csv,0.62
wxstudio.csv,0.39
free-evolution.csv,0.3
xapian.csv,0.35
quark.csv,0.25
les-indemodables.csv,0.54
mesa3d.csv,0.22
simplewebservices.csv,0.43
illumination.csv,0.26
wxjs.csv,0.12
ambulant.csv,0.6
kmess.csv,0.68
fleet-simulator.csv,1.0
tradelink.csv,0.3
opendvr.csv,0.4
pi-qmc.csv,0.44
google-gears.csv,0.82
bibletime.csv,0.89
ipfilter.csv,0.92
glelite.csv,0.99
hibernate.csv,0.44
keyczar.csv,0.5
oscarmcmaster.csv,0.31
passwordsafe.csv,0.49
primefaces.csv,0.62
xtreemfs.csv,0.8
pixel-commandos.csv,0.12
open-ms.csv,0.26
pnotepad.csv,0.93
qedo.csv,0.04
tigermud.csv,0.56
mevenide.csv,0.27
xcf.csv,0.62
ninject.csv,0.09
xinity.csv,0.62
xmoto.csv,0.56
coot.csv,0.68
emite.csv,0.58
gss.csv,0.9
icescrum.csv,0.52
