,recall
jchassis.csv,1.0
doomlegacy.csv,0.7
bzbyte.csv,0.75
fmri-dmt.csv,0.33
v8.csv,0.65
servicestack.csv,0.12
carabiner.csv,0.41
gephex.csv,0.34
mediaportal.csv,0.72
gnome-jabber.csv,0.4
fityk.csv,0.52
mecat.csv,1.0
ngl.csv,0.66
codepurge.csv,0.25
jcl.csv,0.79
bigdata.csv,0.54
salasaga.csv,0.96
ondex.csv,0.52
jas.csv,0.75
qdvdauthor.csv,0.55
gmerlin.csv,0.75
wsmt.csv,0.17
xqilla.csv,1.0
jstock.csv,0.38
poormans.csv,0.5
kolmafia.csv,0.57
synergyspace.csv,0.27
nebuladevice.csv,0.47
findbugs.csv,0.54
qmmp.csv,0.24
wxstudio.csv,0.51
free-evolution.csv,0.33
xapian.csv,0.69
quark.csv,1.0
les-indemodables.csv,0.68
mesa3d.csv,0.72
simplewebservices.csv,0.96
illumination.csv,0.53
wxjs.csv,1.0
ambulant.csv,0.61
kmess.csv,0.78
fleet-simulator.csv,0.13
tradelink.csv,0.37
opendvr.csv,0.45
pi-qmc.csv,0.64
google-gears.csv,0.62
bibletime.csv,0.76
ipfilter.csv,0.72
glelite.csv,0.6
hibernate.csv,0.34
keyczar.csv,0.04
oscarmcmaster.csv,0.62
passwordsafe.csv,0.77
primefaces.csv,0.38
xtreemfs.csv,0.38
pixel-commandos.csv,0.75
open-ms.csv,0.8
pnotepad.csv,0.79
qedo.csv,0.32
tigermud.csv,0.26
mevenide.csv,0.79
xcf.csv,0.41
ninject.csv,0.6
xinity.csv,0.68
xmoto.csv,0.78
coot.csv,0.8
emite.csv,0.23
gss.csv,0.3
icescrum.csv,0.63
