,d2h
jchassis.csv,0.83
doomlegacy.csv,0.72
bzbyte.csv,0.46
fmri-dmt.csv,0.77
v8.csv,0.64
servicestack.csv,0.91
carabiner.csv,0.65
gephex.csv,0.69
mediaportal.csv,0.57
gnome-jabber.csv,0.63
fityk.csv,0.57
mecat.csv,0.63
ngl.csv,0.66
codepurge.csv,0.79
jcl.csv,0.67
bigdata.csv,0.62
salasaga.csv,0.62
ondex.csv,0.65
jas.csv,0.85
qdvdauthor.csv,0.62
gmerlin.csv,0.66
wsmt.csv,0.89
xqilla.csv,0.87
jstock.csv,0.64
poormans.csv,0.51
kolmafia.csv,0.51
synergyspace.csv,0.8
nebuladevice.csv,0.73
findbugs.csv,0.63
qmmp.csv,0.78
wxstudio.csv,0.78
free-evolution.csv,0.71
xapian.csv,0.49
quark.csv,0.73
les-indemodables.csv,0.46
mesa3d.csv,0.75
simplewebservices.csv,0.9
illumination.csv,0.61
wxjs.csv,0.63
ambulant.csv,0.47
kmess.csv,0.65
fleet-simulator.csv,0.87
tradelink.csv,0.66
opendvr.csv,0.61
pi-qmc.csv,0.49
google-gears.csv,0.58
bibletime.csv,0.49
ipfilter.csv,0.32
glelite.csv,0.52
hibernate.csv,0.69
keyczar.csv,0.97
oscarmcmaster.csv,0.53
passwordsafe.csv,0.51
primefaces.csv,0.71
xtreemfs.csv,0.8
pixel-commandos.csv,0.35
open-ms.csv,0.61
pnotepad.csv,0.37
qedo.csv,0.92
tigermud.csv,0.81
mevenide.csv,0.73
xcf.csv,0.65
ninject.csv,0.71
xinity.csv,0.73
xmoto.csv,0.55
coot.csv,0.45
emite.csv,0.78
gss.csv,0.7
icescrum.csv,0.5
