,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,91.5,664.0,293.5,149.0,130.0,148.0,198.0,622.0,92.5,285.5,97.5,97.5
delphilhlplib.csv,192.0,188.0,395.0,161.5,16.5,85.5,99.0,65.5,92.5,241.5,97.5,63.5
factor.csv,0.0,564.0,389.5,218.5,43.5,198.0,99.0,154.5,96.5,798.5,233.5,96.5
fceugc.csv,193.0,1026.0,394.0,93.5,592.0,157.0,3755.0,1062.0,78.5,93.5,944.0,0.0
fltk.csv,193.0,188.0,494.0,104.0,127.0,84.5,198.0,483.0,98.5,93.5,97.5,96.5
jstock.csv,193.0,532.0,296.0,338.5,46.5,98.5,198.0,526.0,93.5,93.5,97.5,96.5
lportal.csv,91.5,174.0,237.5,6.5,13.5,53.5,2536.0,0.0,80.5,0.0,82.5,96.5
natpad.csv,193.0,1233.0,395.5,286.5,98.5,197.5,198.0,793.5,98.5,384.0,97.5,196.5
ogre.csv,188.0,859.0,296.0,286.5,565.0,99.0,198.0,1151.5,98.5,93.5,97.5,97.5
phet.csv,174.0,1393.0,193.0,375.0,476.5,99.0,1267.0,1159.5,98.5,408.5,941.0,95.5
sandiaportals.csv,193.0,378.0,494.0,104.0,335.5,93.5,198.0,227.5,98.5,414.5,97.5,97.5
sumatrapdf.csv,193.0,1046.0,494.0,286.5,358.5,196.5,198.0,1137.5,98.5,285.5,97.5,97.5
