,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.53,0.56,0.48,0.73,0.78
kmess.csv,0.21,0.42,0.07,0.13,0.73
minig.csv,0.95,0.62,0.7,0.13,0.97
rezilla.csv,0.79,0.27,0.35,0.07,0.75
webdriver.csv,0.16,0.71,0.63,0.53,0.59
