,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.48,0.47,0.48,0.62,0.62
kmess.csv,0.44,0.7,0.5,0.26,0.73
minig.csv,0.31,0.37,0.56,0.6,0.63
rezilla.csv,0.56,0.43,0.67,0.75,0.63
webdriver.csv,0.27,0.71,0.37,0.44,0.71
