,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.5,0.51,0.48,0.67,0.69
kmess.csv,0.29,0.53,0.12,0.18,0.73
minig.csv,0.47,0.47,0.62,0.22,0.76
rezilla.csv,0.65,0.33,0.46,0.12,0.69
webdriver.csv,0.2,0.71,0.46,0.48,0.64
