,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.07,0.04,0.11,0.0,0.0,0.14,0.14,0.05,0.04,0.47,0.0,0.27,0.0,0.07,0.16,0.12,0.0,0.12
atlc.csv,0.55,0.31,0.61,0.84,0.24,0.8,0.69,0.7,0.94,0.68,0.96,0.62,1.0,0.77,0.37,0.57,0.56,0.78
ipfilter.csv,0.89,0.54,0.64,0.91,0.69,0.84,0.86,0.56,0.98,0.5,0.94,0.65,1.0,0.79,0.11,0.82,0.67,0.69
liferea.csv,0.43,0.23,0.39,0.14,0.03,0.62,0.2,0.12,0.17,0.39,0.3,0.22,0.0,0.26,0.21,0.4,0.22,0.06
miranda-icq.csv,0.09,0.1,0.23,0.2,0.1,0.48,0.14,0.13,0.34,0.08,0.06,0.11,0.0,0.21,0.0,0.11,0.0,0.03
opensim4opencog.csv,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
pclasses.csv,0.07,0.1,0.0,0.0,0.0,0.02,0.0,0.1,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.31
pfaedit.csv,0.21,0.33,0.4,0.07,0.0,0.44,0.34,0.1,0.17,0.74,0.12,0.0,0.0,0.3,0.0,0.38,0.11,0.19
psrchive.csv,0.09,0.02,0.03,0.5,0.72,0.18,0.26,0.32,0.0,0.11,0.52,0.64,0.0,0.06,0.26,0.03,0.56,0.0
rockbox.csv,0.07,0.52,0.16,0.07,0.0,0.3,0.29,0.02,0.19,0.32,0.03,0.06,0.0,0.16,0.05,0.18,0.0,0.22
theresa.csv,0.04,0.12,0.03,0.02,0.07,0.0,0.09,0.0,0.02,0.08,0.02,0.02,0.0,0.03,0.05,0.03,0.22,0.0
thrust.csv,0.02,0.06,0.05,0.0,0.0,0.0,0.06,0.21,0.06,0.05,0.01,0.05,0.0,0.2,0.11,0.01,0.11,0.19
tktoolkit.csv,0.04,0.15,0.01,0.02,0.0,0.02,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.05,0.0,0.03,0.0,0.16
trinitycore.csv,0.11,0.19,0.05,0.0,0.0,0.18,0.14,0.01,0.02,0.05,0.0,0.0,0.0,0.03,0.11,0.07,0.0,0.0
tzod.csv,0.25,0.21,0.28,0.18,0.03,0.68,0.03,0.04,0.17,0.18,0.19,0.17,0.0,0.2,0.11,0.18,0.33,0.09
yaprm.csv,0.54,0.35,0.45,0.0,0.0,0.24,0.0,0.13,0.43,0.34,0.0,0.0,1.0,0.36,0.0,0.28,0.0,0.62
zemljanka.csv,0.98,0.98,1.0,1.0,1.0,1.0,0.97,1.0,0.96,1.0,0.99,0.99,1.0,0.98,0.89,0.99,0.89,0.81
