,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.09,0.11,0.36,0.0,0.0,0.33,0.39,0.04,0.0,0.49,0.0,0.38,0.27,0.63,0.37,0.29,0.0,0.16
atlc.csv,0.45,0.37,0.64,0.85,0.83,0.67,0.61,0.83,1.0,0.54,0.96,0.81,0.77,0.9,0.76,0.67,0.52,0.84
ipfilter.csv,0.73,0.59,0.79,0.77,0.37,1.0,0.94,0.83,0.94,0.51,0.91,0.79,0.79,0.87,0.93,0.8,0.69,0.63
liferea.csv,0.64,0.44,0.79,0.31,0.15,1.0,0.33,0.22,0.12,0.51,0.22,0.46,0.54,0.27,0.43,0.64,0.26,0.11
miranda-icq.csv,0.18,0.22,0.29,0.31,0.29,0.33,0.06,0.26,0.35,0.19,0.13,0.31,0.15,0.23,0.15,0.2,0.03,0.05
opensim4opencog.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.45,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.27,0.0,0.58
pfaedit.csv,0.36,0.63,0.71,0.15,0.0,1.0,0.83,0.17,0.12,0.81,0.22,0.02,0.49,0.47,0.04,0.62,0.05,0.63
psrchive.csv,0.09,0.15,0.07,0.38,0.66,0.0,0.15,0.39,0.0,0.16,0.35,0.77,0.18,0.17,0.46,0.11,0.53,0.0
rockbox.csv,0.09,0.7,0.43,0.08,0.0,1.0,0.35,0.0,0.12,0.46,0.04,0.19,0.17,0.23,0.0,0.27,0.07,0.74
theresa.csv,0.0,0.22,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.0,0.04,0.15,0.1,0.11,0.04,0.15,0.0
thrust.csv,0.0,0.04,0.07,0.0,0.0,0.0,0.07,0.04,0.18,0.05,0.0,0.06,0.02,0.2,0.17,0.0,0.03,0.11
tktoolkit.csv,0.09,0.07,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05
trinitycore.csv,0.18,0.19,0.07,0.0,0.0,0.67,0.09,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.39,0.24,0.0,0.0
tzod.csv,0.36,0.56,0.57,0.69,0.2,0.67,0.02,0.13,0.12,0.43,0.09,0.42,0.3,0.2,0.52,0.18,0.41,0.0
yaprm.csv,0.64,0.48,0.43,0.0,0.0,0.33,0.0,0.09,0.41,0.62,0.0,0.0,0.69,0.47,0.0,0.33,0.0,0.42
zemljanka.csv,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.99,1.0,0.98,1.0,0.99,0.95
