,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv,
adobe-source.csv,0.13,0.19,0.37,0,0,0.18,0.52,0.06,0,0.49,0,0.36,0.43,0.66,0.52,0.35,0,0.23,1
atlc.csv,0.21,0.38,0.26,0.36,0.83,0.09,0.59,0.24,0.44,0.48,0.23,0.45,0.87,0.34,0.8,0.39,0.67,0.53,4
ipfilter.csv,0.23,0.46,0.3,0.32,0.39,0.12,0.76,0.28,0.41,0.51,0.22,0.43,0.88,0.32,0.95,0.37,0.8,0.45,4
liferea.csv,0.33,0.48,0.41,0.35,0.25,0.16,0.46,0.21,0.15,0.54,0.14,0.44,0.7,0.22,0.57,0.45,0.41,0.17,1
miranda-icq.csv,0.22,0.32,0.23,0.31,0.43,0.07,0.1,0.24,0.31,0.3,0.17,0.38,0.26,0.22,0.26,0.26,0.06,0.1,0
opensim4opencog.csv,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0
pclasses.csv,0.5,0.32,0,0,0,0,0,0.23,0,0,0,0,0.2,0.05,0,0.36,0,0.55,0
pfaedit.csv,0.3,0.57,0.37,0.22,0,0.21,0.81,0.18,0.15,0.63,0.22,0.04,0.66,0.33,0.08,0.44,0.09,0.65,4
psrchive.csv,0.12,0.25,0.12,0.25,0.61,0,0.23,0.21,0,0.26,0.14,0.43,0.31,0.23,0.58,0.18,0.68,0,2
rockbox.csv,0.13,0.54,0.38,0.12,0,0.29,0.46,0,0.14,0.52,0.07,0.28,0.3,0.24,0,0.3,0.14,0.7,1
theresa.csv,0,0.31,0,0,0.05,0,0,0,0,0.26,0,0.07,0.26,0.16,0.19,0.06,0.26,0,0
thrust.csv,0,0.06,0.11,0,0,0,0.13,0.03,0.26,0.1,0,0.1,0.03,0.19,0.29,0,0.06,0.15,0
tktoolkit.csv,0.14,0.11,0,0,0,0,0.04,0,0.26,0,0,0,0.03,0,0,0,0,0.08,0
trinitycore.csv,0.21,0.24,0.11,0,0,0.29,0.16,0,0,0,0,0,0.19,0.06,0.55,0.32,0,0,0
tzod.csv,0.28,0.58,0.37,0.6,0.32,0.1,0.04,0.18,0.15,0.53,0.07,0.44,0.46,0.19,0.67,0.21,0.58,0,2
yaprm.csv,0.29,0.46,0.22,0,0,0.12,0,0.09,0.32,0.63,0,0,0.82,0.31,0,0.3,0,0.34,2
zemljanka.csv,0.29,0.53,0.27,0.37,0.72,0.11,0.76,0.22,0.41,0.66,0.23,0.41,0.99,0.32,0.83,0.4,0.97,0.57,6
