,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.24,0.89,0.46,0.12,0.0,0.52,0.85,1.0,0.3,0.29,0.25,0.51,0.62,0.43,0.65
autowikibrowser.csv,0.2,0.61,0.35,0.11,0.37,0.42,0.75,0.82,0.32,0.28,0.21,0.62,0.67,0.36,0.65
blue-c.csv,0.14,0.47,0.4,0.12,0.0,0.38,0.59,0.86,0.15,0.24,0.22,0.45,0.5,0.33,0.58
dynalloy.csv,0.11,0.43,0.6,0.14,0.0,0.37,0.57,0.92,0.14,0.19,0.2,0.46,0.5,0.35,0.55
hydrogen.csv,0.21,0.46,0.36,0.1,0.25,0.36,0.49,0.55,0.42,0.23,0.15,0.4,0.45,0.22,0.66
jcae.csv,0.0,0.56,0.38,0.35,0.14,0.4,1.0,0.89,0.59,0.65,0.29,1.0,0.61,0.38,0.67
lphant.csv,0.19,0.55,0.35,0.11,0.3,0.42,0.54,0.76,0.25,0.27,0.27,0.7,0.59,0.36,0.77
nosleepsoftware.csv,0.38,0.64,0.0,0.0,0.56,0.32,0.6,0.0,0.0,0.0,0.0,0.33,0.36,0.2,1.0
qgo.csv,0.14,0.84,0.29,0.11,0.27,0.49,0.58,0.52,0.24,0.29,0.2,0.4,0.49,0.27,0.67
quickfast.csv,0.15,0.55,0.35,0.11,0.37,0.44,0.8,0.56,0.28,0.37,0.22,0.43,0.43,0.36,0.82
rhex.csv,0.3,0.52,0.37,0.08,0.56,0.35,0.78,0.71,0.42,0.2,0.25,1.0,0.35,0.31,0.74
rocrail.csv,0.25,0.65,0.46,0.08,0.42,0.37,0.74,0.82,0.33,0.27,0.24,0.44,0.75,0.49,0.81
virtuoso.csv,0.13,0.48,0.36,0.1,0.25,0.36,0.48,0.55,0.14,0.44,0.15,0.4,0.43,0.22,0.78
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
yield.csv,0.15,0.55,0.44,0.1,0.3,0.37,0.75,0.77,0.24,0.3,0.18,0.48,0.53,0.3,0.67
