,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.57,0.62,0.73,0.1,0.73,0.13,0.45,0.53,0.49,0.9,0.56,0.55,0.42,0.94
doomlegacy.csv,0.38,0.56,0.68,0.1,0.72,0.11,0.5,0.4,0.48,0.85,0.52,0.28,0.22,0.96
empserver.csv,0.47,0.49,0.68,0.11,0.72,0.14,0.47,0.39,0.57,0.77,0.42,0.38,0.24,0.95
fritzing.csv,0.46,0.69,0.83,0.08,0.5,1.0,0.55,0.4,0.66,0.92,0.67,0.5,0.42,0.94
ifmo-game-1.csv,0.32,0.5,0.79,0.26,0.52,0.0,0.29,1.0,0.37,0.9,0.33,0.25,0.26,1.0
jparsec.csv,0.35,0.44,0.64,0.09,0.52,0.09,0.28,0.59,0.43,0.72,0.27,0.24,0.21,0.96
lmms.csv,0.57,0.53,0.77,0.11,0.67,0.14,0.39,0.52,0.46,0.8,0.57,0.48,0.32,0.96
lufa-lib.csv,0.68,0.64,0.71,0.06,0.67,0.12,0.34,0.37,0.64,0.81,0.21,0.23,0.58,0.93
pgui.csv,0.44,0.51,0.0,0.08,0.62,0.0,0.52,0.34,0.43,0.0,0.33,0.28,0.33,0.0
pi-qmc.csv,0.52,0.5,0.68,0.06,0.53,0.19,0.28,0.51,0.44,0.72,0.22,0.7,0.3,0.96
repositorium.csv,0.25,0.36,0.64,0.1,0.5,0.31,0.0,0.38,0.38,0.73,0.22,0.27,0.23,1.0
superwaba.csv,0.62,0.6,0.74,0.09,0.55,0.14,0.47,0.46,0.51,0.86,0.45,0.82,0.24,0.96
xapian.csv,0.35,0.49,0.66,0.1,0.57,0.16,0.33,0.35,0.43,0.78,0.42,0.2,0.22,0.95
zemljanka.csv,0.36,0.48,0.62,0.11,0.48,0.1,0.26,0.39,0.33,0.77,0.23,0.28,0.2,1.0
