,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,293.5,98.5,99.0,275.5,99.0,98.5,532.0,93.5,569.5,97.5,290.5,91.5,478.5,90.5
doomlegacy.csv,294.0,98.5,99.0,656.5,99.0,98.5,263.5,98.5,490.0,99.0,290.5,573.0,878.0,90.5
empserver.csv,195.0,98.5,99.0,465.5,99.0,197.5,913.0,98.5,490.0,99.0,291.5,285.5,1273.0,97.5
fritzing.csv,96.5,98.5,96.5,377.0,130.0,98.5,83.5,98.5,579.0,95.5,193.0,88.5,271.5,89.5
ifmo-game-1.csv,391.5,53.5,95.5,278.5,396.5,208.5,1925.0,80.5,991.5,79.5,30.0,240.5,475.5,94.5
jparsec.csv,490.0,97.5,99.0,1032.5,99.0,196.5,2120.5,98.5,490.0,99.0,191.0,378.0,1764.0,99.0
lmms.csv,292.5,98.5,99.0,659.5,87.5,86.5,825.0,93.5,588.5,99.0,193.0,186.0,937.5,97.5
lufa-lib.csv,96.5,98.5,99.0,654.5,99.0,98.5,817.0,388.0,847.0,97.5,388.0,283.5,265.5,98.5
pgui.csv,96.5,98.5,0.0,1131.0,99.0,0.0,256.5,98.5,588.5,0.0,290.5,573.0,92.5,0.0
pi-qmc.csv,195.0,95.5,99.0,372.0,99.0,97.5,2120.5,98.5,588.5,99.0,291.5,91.5,731.0,99.0
repositorium.csv,96.5,182.0,99.0,1036.5,96.5,197.5,0.0,98.5,407.5,99.0,289.5,475.5,290.5,60.5
superwaba.csv,292.5,98.5,99.0,280.5,97.5,98.5,438.5,98.5,658.0,97.5,192.0,91.5,1864.5,92.5
xapian.csv,490.0,98.5,197.5,1035.5,99.0,197.5,1279.5,480.5,588.5,96.5,193.0,377.0,2146.0,99.0
zemljanka.csv,389.5,98.5,99.0,757.0,87.5,196.5,1837.5,98.5,2066.5,99.0,388.0,379.0,1176.0,99.0
