,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.0,13.0,27.0,0.0,0.0,2.0,0.0,8.0,4.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
cornerstone.csv,13.0,2.0,15.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,0.0
emeraldemu.csv,5.0,18.0,63.0,46.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0
grafx2.csv,15.0,13.0,20.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,9.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0,9.0
jahshakafx.csv,3.0,2.0,33.0,2.0,0.0,0.0,2.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0
kindb.csv,6.0,26.0,53.0,2.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0
maya-work-in-progress.csv,55.0,3.0,90.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0
netatalk.csv,24.0,4.0,57.0,77.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,0.0,1.0,34.0,1.0
novembre.csv,6.0,12.0,50.0,16.0,0.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ns-3.csv,2.0,1.0,68.0,6.0,1.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,54.0,0.0
nullc.csv,59.0,3.0,58.0,80.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,8.0,2.0,5.0,1.0,3.0,1.0,3.0,7.0,1.0
open-beos.csv,2.0,25.0,53.0,12.0,0.0,3.0,3.0,40.0,1.0,1.0,0.0,13.0,2.0,2.0,1.0,2.0,0.0,1.0,30.0,4.0
pixel-commandos.csv,1.0,0.0,57.0,26.0,0.0,0.0,2.0,11.0,3.0,0.0,2.0,100.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,4.0
planeshift.csv,81.0,3.0,146.0,65.0,0.0,0.0,5.0,2.0,4.0,2.0,0.0,8.0,1.0,0.0,1.0,3.0,8.0,1.0,33.0,1.0
plee-the-bear.csv,0.0,1.0,14.0,10.0,1.0,1.0,1.0,15.0,1.0,1.0,2.0,6.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,9.0
reaper-ecad.csv,8.0,1.0,52.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sbml.csv,8.0,2.0,101.0,15.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,42.0,6.0
unimrcp.csv,5.0,0.0,71.0,18.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,5.0
unladen-swallow.csv,1.0,3.0,11.0,4.0,0.0,1.0,3.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,17.0,2.0
xmoto.csv,15.0,1.0,62.0,0.0,0.0,4.0,5.0,12.0,3.0,3.0,3.0,4.0,0.0,4.0,3.0,5.0,3.0,1.0,27.0,1.0
