,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.45,0.33,0.63,0.47,0.56,0.54,0.39,0.29,0.0,0.73,0.57,0.41,0.36,0.07,0.62,0.22,0.73,0.53
buddata-ebxml-registry.csv,0.0,0.6,0.0,0.13,0.67,0.51,0.56,0.05,0.17,0.3,0.38,0.09,0.0,0.33,0.13,0.09,0.0,0.95
co-ode-owl-plugins.csv,0.61,0.51,0.63,0.61,0.61,0.73,0.47,0.53,0.28,0.7,0.57,0.36,0.65,0.07,0.44,0.42,0.31,0.55
firebreath.csv,0.54,0.45,0.43,0.69,0.71,0.72,0.64,0.67,0.43,0.3,0.53,0.65,0.63,0.22,0.63,0.56,0.54,0.29
gretl.csv,0.27,0.69,0.66,0.73,0.65,0.24,0.52,0.57,0.37,0.73,0.53,0.13,0.68,0.28,0.69,0.63,0.62,0.77
konversation.csv,0.2,0.39,0.31,0.76,0.44,0.41,0.45,0.66,0.46,0.2,0.11,0.55,0.52,0.29,0.42,0.43,0.3,0.23
lazarus-ccr.csv,0.74,0.45,0.09,0.27,0.28,0.47,0.54,0.51,0.44,0.63,0.23,0.56,0.72,0.52,0.0,0.54,0.2,0.26
linuxsh.csv,0.48,0.46,0.85,0.2,0.24,0.61,0.39,0.31,0.06,0.72,0.13,0.48,0.07,0.0,0.18,0.17,0.2,0.53
migen.csv,0.39,0.48,0.41,0.68,0.51,0.58,0.65,0.41,0.06,0.77,0.55,0.61,0.07,0.07,0.33,0.23,0.21,0.41
moviesandbox.csv,0.54,0.56,0.66,0.76,0.58,0.71,0.55,0.57,0.12,0.69,0.68,0.57,0.58,0.07,0.26,0.33,0.3,0.54
mvnforum.csv,0.05,0.33,0.56,0.0,0.59,0.47,0.36,0.36,0.06,0.65,0.58,0.31,0.63,0.45,0.47,0.47,0.46,0.39
ontomorphtab.csv,0.47,0.69,0.0,0.53,0.69,0.38,0.65,0.47,0.47,0.27,0.43,0.66,0.54,0.27,0.69,0.72,0.09,0.63
opengs.csv,0.2,0.2,0.56,0.7,0.64,0.66,0.28,0.51,0.17,0.2,0.75,0.54,0.49,0.0,0.45,0.43,0.38,0.26
plplot.csv,0.73,0.64,0.17,0.72,0.65,0.69,0.61,0.69,0.51,0.23,0.24,0.64,0.5,0.42,0.68,0.66,0.09,0.57
scite-ru.csv,0.17,0.66,0.62,0.64,0.75,0.57,0.51,0.58,0.53,0.59,0.68,0.09,0.2,0.5,0.62,0.65,0.55,0.68
tokratan.csv,0.29,0.41,0.47,0.61,0.6,0.64,0.6,0.39,0.12,0.13,0.3,0.51,0.62,0.49,0.71,0.7,0.54,0.55
vrjuggler.csv,0.53,0.56,0.0,0.55,0.05,0.34,0.11,0.09,0.22,0.13,0.05,0.16,0.26,0.52,0.21,0.0,0.21,0.35
xuggle.csv,0.67,0.47,0.56,0.61,0.72,0.62,0.58,0.59,0.63,0.32,0.77,0.81,0.61,0.14,0.61,0.6,0.64,0.58
