,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.57,0.19,0.67,0.13,0.36,0.77,0.56,0.23,0.08,0.41,0.78,0.52,0.41,0.24,0.57,0.32,0.4,0.25
buddata-ebxml-registry.csv,1.0,0.71,1.0,0.97,0.59,0.83,0.77,0.99,0.96,0.92,0.88,0.98,1.0,0.9,0.97,0.98,1.0,0.0
co-ode-owl-plugins.csv,0.43,0.48,0.42,0.23,0.63,0.46,0.51,0.33,0.08,0.11,0.78,0.88,0.52,0.05,0.23,0.33,0.35,0.5
firebreath.csv,0.25,0.14,0.87,0.49,0.45,0.49,0.4,0.35,0.15,0.59,0.77,0.4,0.64,0.42,0.3,0.19,0.67,0.0
gretl.csv,0.93,0.38,0.53,0.36,0.36,0.94,0.81,0.54,0.31,0.57,0.77,0.97,0.43,0.36,0.4,0.35,0.53,0.0
konversation.csv,0.07,0.1,0.2,0.18,0.15,0.11,0.26,0.3,0.37,0.2,0.14,0.38,0.39,0.24,0.2,0.16,0.36,0.0
lazarus-ccr.csv,0.29,0.48,0.98,0.64,0.92,0.57,0.67,0.68,0.5,0.25,0.32,0.55,0.52,0.8,1.0,0.7,0.95,0.25
linuxsh.csv,0.79,0.33,0.33,0.13,0.08,0.57,0.26,0.18,0.08,0.26,0.97,0.77,0.23,0.02,0.1,0.07,0.13,0.5
migen.csv,0.57,0.14,0.18,0.3,0.15,0.26,0.33,0.21,0.0,0.25,0.39,0.63,0.16,0.1,0.13,0.09,0.25,0.25
moviesandbox.csv,0.57,0.76,0.27,0.43,0.38,0.34,0.37,0.65,0.15,0.24,0.34,0.69,0.68,0.03,0.13,0.35,0.29,0.75
mvnforum.csv,0.0,0.29,0.75,0.11,0.43,0.83,0.23,0.21,0.06,0.11,0.32,0.35,0.3,0.53,0.8,0.79,0.78,0.5
ontomorphtab.csv,0.46,0.19,1.0,0.8,0.68,0.89,0.65,0.84,0.83,0.76,0.86,0.53,0.52,0.92,0.63,0.39,0.98,0.5
opengs.csv,0.0,0.05,0.42,0.17,0.23,0.51,0.3,0.33,0.04,0.0,0.29,0.39,0.68,0.0,0.17,0.16,0.36,0.0
plplot.csv,0.32,0.43,0.96,0.53,0.66,0.57,0.51,0.5,0.35,0.73,0.94,0.65,0.82,0.75,0.57,0.14,0.98,0.25
scite-ru.csv,0.96,0.67,0.73,0.47,0.52,0.77,0.81,0.64,0.15,0.75,0.65,0.98,0.95,0.8,0.43,0.67,0.55,0.5
tokratan.csv,0.21,0.24,0.42,0.22,0.21,0.43,0.35,0.3,0.06,0.13,0.03,0.23,0.61,0.53,0.4,0.46,0.56,0.25
vrjuggler.csv,0.32,0.14,0.05,0.12,0.02,0.17,0.14,0.02,0.15,0.02,0.01,0.06,0.23,0.37,0.13,0.07,0.07,0.0
xuggle.csv,0.46,0.24,0.75,0.2,0.19,0.57,0.33,0.45,0.33,0.34,0.45,0.38,0.7,0.32,0.37,0.46,0.56,0.25
