,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.76,1.07,0.64,0.07,0.73,0.71,0.69,0.78,0.64,0.68,0.61,0.87,0.55,0.54
encog-cs.csv,0.72,0.85,0.75,0.78,0.77,0.72,0.76,0.53,0.03,0.84,0.77,0.64,0.74,0.68
extprosys.csv,0.83,0.72,0.1,0.91,0.86,0.75,0.8,0.69,0.94,0.85,0.8,0.73,0.89,0.65
ibatisdb.csv,1.0,0.9,0.92,0.92,0.82,0.72,0.75,0.84,0.92,0.79,0.69,0.61,0.92,0.03
intact.csv,1.16,0.87,0.82,0.7,0.78,0.01,0.82,0.56,0.8,0.7,0.7,0.69,0.79,0.89
japano.csv,0.62,1.01,0.91,0.61,0.74,0.94,0.69,0.0,0.6,0.75,0.71,0.59,0.95,0.98
lockss.csv,1.0,0.81,0.83,0.95,0.97,0.93,0.9,0.88,0.79,0.09,0.74,0.95,0.91,0.95
ofbiz.csv,1.02,0.51,0.63,0.78,0.84,0.87,0.9,0.9,0.67,0.79,0.6,1.0,0.02,0.42
officefloor.csv,1.03,0.96,0.85,0.87,0.78,0.7,0.93,0.79,1.0,0.82,0.13,0.77,0.97,0.87
opennms.csv,0.42,0.91,0.91,0.96,0.04,0.84,0.59,0.84,0.65,0.82,0.77,0.79,0.76,0.89
rohxel.csv,0.86,0.78,0.76,0.57,0.74,0.65,0.0,0.89,0.58,0.9,0.56,0.89,0.76,0.94
roolo.csv,1.01,0.6,0.88,0.78,0.74,0.87,0.95,0.79,0.9,0.72,0.72,0.05,0.76,0.82
sevenupdate.csv,0.82,0.33,0.99,0.93,0.77,0.72,0.67,0.72,0.78,0.5,0.89,0.69,0.72,0.88
