,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,57.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,53.0,1.0,1.0,21.0
encog-cs.csv,65.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,316.0,0.0,2.0,16.0
extprosys.csv,64.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,6.0,308.0,0.0,2.0,26.0
ibatisdb.csv,104.0,0.0,9.0,0.0,3.0,1.0,0.0,1.0,1.0,24.0,12.0,0.0,3.0,0.0
intact.csv,104.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,3.0,229.0,0.0,2.0,6.0
japano.csv,50.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,128.0,0.0,9.0,17.0
lockss.csv,104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,399.0,0.0,1.0,13.0
ofbiz.csv,104.0,0.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,43.0,56.0,0.0,10.0
officefloor.csv,104.0,0.0,10.0,1.0,6.0,0.0,0.0,0.0,183.0,3.0,0.0,0.0,0.0,17.0
opennms.csv,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,141.0,1.0,0.0,12.0
rohxel.csv,66.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,17.0,223.0,0.0,8.0,12.0
roolo.csv,104.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,227.0,0.0,2.0,10.0
sevenupdate.csv,62.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,14.0,1.0,323.0,0.0,8.0,13.0
