,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.76,1.0,0.38,0.07,0.34,0.32,0.18,0.44,0.58,0.41,0.6,0.16,0.52,0.53
encog-cs.csv,0.72,0.83,0.73,0.71,0.77,0.67,0.73,0.44,0.0,0.76,0.73,0.62,0.67,0.66
extprosys.csv,0.83,0.67,0.01,0.86,0.84,0.7,0.73,0.67,0.93,0.85,0.76,0.73,0.84,0.62
ibatisdb.csv,0.09,0.0,0.26,0.21,0.32,0.15,0.09,0.22,0.03,0.4,0.07,0.46,0.06,0.0
intact.csv,0.6,0.83,0.11,0.43,0.75,0.01,0.73,0.22,0.66,0.53,0.52,0.68,0.1,0.23
japano.csv,0.62,1.0,0.91,0.43,0.57,0.9,0.18,0.0,0.46,0.7,0.7,0.57,0.95,0.98
lockss.csv,0.06,0.17,0.17,0.0,0.06,0.01,0.0,0.22,0.07,0.0,0.46,0.05,0.14,0.12
ofbiz.csv,0.21,0.33,0.28,0.14,0.17,0.47,0.0,0.11,0.29,0.18,0.18,0.0,0.02,0.41
officefloor.csv,0.25,0.0,0.32,0.86,0.22,0.29,0.91,0.78,0.01,0.26,0.0,0.73,0.0,0.86
opennms.csv,0.42,0.17,0.04,0.21,0.0,0.12,0.18,0.22,0.12,0.05,0.21,0.24,0.2,0.22
rohxel.csv,0.86,0.67,0.7,0.43,0.7,0.58,0.0,0.89,0.47,0.84,0.46,0.86,0.7,0.73
roolo.csv,0.16,0.17,0.37,0.0,0.36,0.11,0.0,0.0,0.21,0.24,0.39,0.0,0.38,0.17
sevenupdate.csv,0.82,0.33,0.99,0.93,0.64,0.68,0.45,0.67,0.72,0.47,0.89,0.59,0.6,0.66
