,brlcad.csv,ogre.csv,autat.csv,mimosa.csv,google-web-toolkit.csv,ftm.csv,jcache.csv
autat.csv,0.07,0.07,0.69,0.26,0.46,0.56,0.26
brlcad.csv,0.77,0.07,0.5,0.0,0.28,0.85,0.0
ftm.csv,0.41,0.07,0.19,0.5,0.29,0.67,0.47
google-web-toolkit.csv,0.15,0.11,0.62,0.89,0.68,0.67,0.85
jcache.csv,0.97,0.62,0.69,0.68,0.72,0.36,0.94
mimosa.csv,0.99,0.85,1.0,0.84,0.71,0.87,0.65
ogre.csv,0.38,0.94,0.5,0.66,0.63,0.57,0.62
