,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.65,0.82,0.98,0.77,0.73,1.01,0.65,0.74,0.88,0.88,0.73,0.68
bigdata.csv,0.73,0.67,0.84,0.79,0.63,0.73,0.8,0.74,0.91,0.57,0.76,0.52
calcubetimer.csv,0.79,0.68,0.56,0.88,0.45,0.12,1.0,0.47,0.92,0.76,1.0,0.69
jas.csv,0.86,0.89,0.57,1.0,0.61,1.09,0.46,0.82,0.57,0.7,0.19,0.81
jbpm.csv,0.88,0.97,0.91,1.0,0.3,0.98,1.0,0.92,1.0,0.92,1.01,0.93
jgossipforum.csv,0.89,0.64,0.53,0.85,0.85,0.86,0.06,0.64,0.34,0.84,1.0,0.69
joustsim.csv,0.86,0.71,0.9,0.75,0.43,0.66,0.17,0.15,0.64,0.62,0.46,0.62
madman.csv,0.81,0.79,0.68,0.88,0.98,0.98,0.94,0.9,0.27,0.91,0.98,0.92
mule.csv,0.8,0.53,0.8,0.72,0.6,0.45,0.51,0.37,0.72,0.7,0.4,0.49
nunit.csv,0.87,0.69,0.88,0.57,0.78,0.54,0.42,0.81,0.97,0.63,0.85,0.45
piccolo2d.csv,0.81,0.75,0.62,0.24,0.48,0.55,1.0,0.58,0.42,0.8,1.0,0.63
sblim.csv,0.78,0.62,0.31,0.61,0.61,0.81,1.02,0.48,0.68,0.87,0.89,0.7
