,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.57,0.9,0.55,0.45,0.48,0.46,0.48,0.61,0.75,0.48,0.4,0.52
bigdata.csv,0.67,0.4,0.9,0.94,0.56,0.53,0.93,0.67,0.45,0.5,0.62,0.67
calcubetimer.csv,0.47,0.53,0.41,0.35,0.58,0.43,0.94,0.35,0.56,0.47,0.88,0.55
jas.csv,0.6,0.96,0.6,0.86,0.58,0.87,0.55,0.8,0.45,0.82,0.78,0.97
jbpm.csv,0.9,0.83,0.83,0.5,0.76,0.0,0.0,0.8,0.0,0.96,0.92,0.8
jgossipforum.csv,0.53,0.5,0.49,0.86,0.88,0.91,0.95,0.75,0.47,0.93,0.67,0.94
joustsim.csv,0.65,0.41,0.43,0.59,0.56,0.57,0.72,0.71,0.45,0.55,0.54,0.47
madman.csv,0.52,0.66,0.57,0.95,0.67,0.79,0.74,0.69,0.48,0.96,0.67,0.74
mule.csv,0.42,0.4,0.77,0.42,0.44,0.36,0.54,0.43,0.51,0.42,0.81,0.46
nunit.csv,0.5,0.71,0.81,0.51,0.47,0.73,0.58,0.71,0.66,0.56,0.58,0.62
piccolo2d.csv,0.36,0.78,0.6,0.52,0.53,0.36,0.0,0.36,0.5,0.65,0.88,0.84
sblim.csv,0.67,0.42,0.57,0.41,0.6,0.64,0.82,0.6,0.58,0.97,0.73,0.47
