,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.33,0.22,0.75,0.62,0.56,1.0,0.62,0.68,0.06,0.86,0.72,0.45
bigdata.csv,0.38,0.63,0.19,0.16,0.35,0.0,0.06,0.15,0.9,0.51,0.57,0.2
calcubetimer.csv,0.4,0.21,0.56,0.88,0.38,0.0,0.07,0.38,0.67,0.41,0.07,0.35
jas.csv,0.41,0.11,0.48,0.09,0.45,0.75,0.46,0.05,0.51,0.24,0.14,0.15
jbpm.csv,0.13,0.01,0.05,0.02,0.13,0.0,0.0,0.15,0.02,0.05,0.1,0.01
jgossipforum.csv,0.48,0.26,0.27,0.06,0.2,0.25,0.06,0.0,0.22,0.05,0.03,0.14
joustsim.csv,0.27,0.66,0.88,0.28,0.31,0.25,0.17,0.12,0.63,0.27,0.27,0.55
madman.csv,0.75,0.51,0.67,0.23,0.58,0.75,0.49,0.63,0.27,0.08,0.62,0.34
mule.csv,0.57,0.43,0.2,0.71,0.58,0.25,0.32,0.25,0.61,0.43,0.14,0.45
nunit.csv,0.6,0.16,0.32,0.43,0.76,0.0,0.37,0.5,0.61,0.41,0.39,0.28
piccolo2d.csv,0.59,0.04,0.19,0.23,0.29,0.0,0.0,0.37,0.18,0.16,0.07,0.11
sblim.csv,0.22,0.38,0.21,0.59,0.25,0.25,0.18,0.15,0.57,0.05,0.18,0.44
