,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.95,0.15,0.92,1.11,0.55,0.97,0.68,0.73,0.98,0.93,0.46,0.78,0.72,0.88,0.92,0.98,1.02,0.61,1.02,0.47
baadengine.csv,0.31,0.96,1.02,0.82,0.74,1.0,0.9,0.73,0.8,0.96,0.5,0.99,0.75,0.5,1.0,1.0,0.97,0.62,0.77,0.72
biopax.csv,1.0,1.0,1.0,1.0,0.97,0.83,0.97,1.0,0.91,0.93,1.0,0.97,0.97,0.93,0.58,0.49,1.0,0.23,0.85,1.0
crux-framework.csv,0.99,1.0,0.92,0.3,0.58,0.97,0.77,0.87,1.0,0.5,0.68,0.85,0.83,1.0,0.67,0.78,1.0,0.94,0.83,0.11
dataobjectsdotnet.csv,0.89,0.96,1.03,0.38,0.86,0.45,0.59,0.71,0.65,0.64,0.81,0.7,0.56,0.3,1.0,0.63,0.66,0.54,0.77,0.66
exl.csv,0.81,0.75,1.03,0.71,0.75,0.67,0.74,0.74,0.65,0.57,0.85,0.73,0.73,0.83,0.91,0.9,0.36,0.67,0.24,0.78
gdis.csv,0.57,0.87,0.57,1.11,0.74,0.81,0.8,0.74,0.72,0.67,0.83,0.75,0.71,0.6,0.18,0.61,1.09,0.5,0.55,0.68
gogoego.csv,0.65,1.14,1.07,0.48,0.78,0.47,0.59,0.51,0.58,0.64,0.55,0.82,0.64,0.58,0.44,0.79,0.44,0.62,0.4,0.92
httpcontentparser.csv,0.84,0.97,0.72,1.06,0.97,0.93,0.65,0.75,0.32,0.65,0.8,0.68,0.74,0.75,1.0,0.67,0.65,0.51,0.61,0.55
impala.csv,0.87,0.78,0.63,0.5,0.89,0.78,0.79,0.87,0.86,0.8,0.78,0.44,0.82,0.78,0.81,0.68,0.75,0.87,0.66,0.75
jgameai.csv,0.8,0.29,0.97,1.0,0.53,0.99,0.91,0.9,1.0,1.06,0.96,0.92,0.97,1.0,0.92,0.87,1.0,0.92,0.84,1.0
loki-lib.csv,0.63,0.67,0.66,0.69,0.63,0.93,0.68,0.91,0.7,0.72,0.89,0.6,0.79,0.67,0.69,0.41,0.61,0.86,0.93,0.74
snakeyaml.csv,0.84,1.02,0.94,0.14,0.92,0.69,0.86,0.82,0.9,0.51,0.44,0.89,0.84,0.88,0.86,1.0,0.5,0.9,0.69,0.76
tart.csv,0.92,0.95,1.12,0.24,0.82,0.84,0.71,0.64,0.58,0.21,0.66,0.81,0.62,0.8,0.89,0.97,0.73,0.61,0.61,0.94
vars-redux.csv,0.77,0.91,1.22,0.5,0.85,0.68,0.67,0.44,0.67,0.62,0.68,0.71,0.7,0.64,0.58,0.9,0.62,0.52,0.28,0.79
werx.csv,0.99,0.85,0.04,1.0,1.0,1.0,0.95,0.91,1.0,0.98,0.99,0.96,1.0,0.98,1.0,0.98,1.0,1.01,0.77,0.95
xbg.csv,0.65,0.84,0.99,1.01,1.0,0.78,0.89,0.96,0.96,1.02,0.84,0.7,0.84,0.3,0.9,0.85,1.17,0.9,1.01,1.0
xqilla.csv,0.97,1.03,0.88,0.18,0.76,0.97,0.73,0.72,0.85,0.65,0.69,0.89,0.75,1.03,0.91,0.94,0.05,0.93,0.93,0.79
zealos.csv,0.85,0.81,0.96,1.03,0.81,0.43,0.88,0.92,0.9,1.0,1.0,1.0,0.97,1.0,0.66,0.97,1.01,1.0,0.98,0.76
