,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.59,0.59,0.35,0.64,0.54,0.43,0.39,0.45,0.28,0.43,1.0,0.14,0.36,0.54,0.29,0.68,0.32,0.28
beast-mcmc.csv,0.98,0.6,0.49,0.38,0.45,0.4,0.54,0.68,0.57,0.26,0.41,0.42,0.69,0.6,0.29,0.42,0.56,0.29
cuberok.csv,0.62,0.62,0.0,0.39,0.69,0.55,0.6,0.92,0.66,0.0,0.0,0.53,0.64,0.0,0.35,0.34,0.54,0.31
exist.csv,0.62,0.63,0.41,0.53,0.5,0.48,0.53,0.43,0.65,0.65,0.32,0.35,0.97,0.56,0.4,0.65,0.54,0.33
ingex.csv,0.27,0.31,0.3,0.5,0.68,0.29,0.52,0.36,0.55,0.48,0.05,0.07,0.58,0.46,0.17,0.91,0.37,0.23
javaprofiler.csv,0.63,0.35,0.63,0.42,0.57,0.62,0.58,0.44,0.6,0.69,0.5,0.44,0.58,0.49,0.46,0.3,0.63,0.99
jbasic.csv,0.53,0.25,0.5,0.36,0.39,0.26,0.51,0.65,0.58,0.94,0.53,0.07,0.33,0.4,0.13,0.2,0.4,0.19
jgnash.csv,0.33,0.21,0.37,0.27,0.2,0.5,0.18,0.61,1.0,0.1,0.28,0.58,0.49,0.36,0.54,0.5,0.13,0.2
jrefactory.csv,0.55,0.45,1.0,0.36,0.44,0.5,0.47,0.4,0.58,0.58,0.45,0.35,0.45,0.64,0.43,0.2,0.55,0.68
jsecurity.csv,0.52,0.54,0.37,0.93,0.45,0.51,0.47,0.59,0.49,0.25,0.36,0.41,0.51,0.58,0.42,0.71,0.53,0.41
libopenmetaverse.csv,0.31,0.26,0.59,0.26,0.2,1.0,0.34,0.24,0.33,0.32,0.45,0.3,0.55,0.38,0.28,0.4,0.38,0.13
mobicents.csv,0.55,0.62,0.45,0.57,0.51,0.62,0.98,0.7,0.57,0.52,0.44,0.42,0.62,0.62,0.21,0.61,0.55,0.44
mp-rechnungs-und-kundenverwaltung.csv,0.36,0.31,0.35,0.37,0.32,0.44,0.45,0.21,0.28,0.37,0.32,0.35,0.3,0.92,0.43,0.63,0.26,0.35
openefm.csv,0.49,0.97,0.44,0.54,0.49,0.29,0.53,0.36,0.67,0.45,0.0,0.35,0.57,0.58,0.43,0.63,0.39,0.41
power-architect.csv,0.46,0.42,0.54,0.58,0.26,0.48,0.53,0.5,0.54,0.28,0.7,0.63,0.53,0.66,0.47,0.43,1.0,0.41
sidekar.csv,0.74,0.4,0.54,0.67,0.98,0.56,0.63,0.61,0.65,0.76,0.66,0.53,0.62,0.6,0.49,0.68,0.58,0.48
wheat.csv,0.55,0.54,0.36,0.35,0.22,0.43,0.46,0.36,0.43,0.31,0.14,0.41,0.34,0.11,1.0,0.51,0.43,0.5
yarp0.csv,0.52,0.51,0.34,0.6,0.56,0.56,0.51,0.26,0.32,0.47,0.56,0.95,0.46,0.5,0.58,0.62,0.52,0.49
