,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.14,0.53,0.33,0.63,0.47,0.58,0.05,0.55,0.48,0.72,0.57,0.82
bscwweasel.csv,0.0,0.03,0.15,0.0,0.16,0.24,0.05,0.01,0.03,0.03,0.07,0.0
capcode.csv,0.0,0.12,0.17,0.04,0.02,0.0,0.03,0.12,0.11,0.13,0.02,0.08
emite.csv,0.92,0.56,0.36,0.25,0.58,0.45,0.41,0.23,0.38,0.46,0.45,0.0
lamp.csv,0.0,0.01,0.11,0.04,0.16,0.13,0.1,0.02,0.06,0.12,0.28,0.02
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nodal.csv,0.02,0.39,0.18,0.08,0.16,0.27,0.18,0.15,0.02,0.25,0.12,0.05
pydev.csv,0.18,0.13,0.2,0.21,0.87,0.31,0.18,0.22,0.38,0.0,0.45,0.1
retromenu.csv,0.02,0.09,0.06,0.08,0.0,0.18,0.08,0.07,0.03,0.07,0.1,0.0
smbopensoft.csv,0.02,0.36,0.42,0.51,0.53,0.38,0.26,0.41,0.44,0.36,0.6,0.3
stuproa-cims.csv,0.98,0.92,0.84,0.56,0.98,0.75,0.92,0.01,0.95,0.75,0.9,0.8
thout.csv,0.17,0.22,0.01,0.46,0.38,0.55,0.15,0.37,0.59,0.29,0.22,0.32
