,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.5,0.07,0.23,0.12,0.3,0.15,0.98,0.21,0.32,0.34,0.03,0.44
bscwweasel.csv,0.0,0.43,0.45,1.0,0.53,0.15,0.88,0.6,0.33,0.6,0.0,1.0
capcode.csv,1.0,0.17,0.19,0.17,0.0,1.0,0.67,0.22,0.42,0.25,0.0,0.4
emite.csv,0.5,0.08,0.33,0.2,0.38,0.14,0.71,0.38,0.2,0.37,0.07,1.0
lamp.csv,0.0,0.93,0.3,0.33,0.36,0.1,0.8,0.4,0.69,0.5,0.06,0.5
mecat.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nodal.csv,0.6,0.14,0.4,0.25,0.63,0.1,0.72,0.18,0.95,0.43,0.12,0.6
pydev.csv,0.5,0.15,0.41,0.19,0.34,0.19,0.71,0.27,0.23,1.0,0.1,0.43
retromenu.csv,0.89,0.31,0.5,0.25,1.0,0.28,0.81,0.33,0.6,0.62,0.25,1.0
smbopensoft.csv,0.98,0.18,0.3,0.14,0.4,0.07,0.66,0.23,0.32,0.43,0.08,0.52
stuproa-cims.csv,0.49,0.11,0.26,0.16,0.32,0.15,0.73,0.98,0.24,0.37,0.05,0.43
thout.csv,0.56,0.15,0.98,0.11,0.35,0.11,0.45,0.27,0.33,0.43,0.07,0.43
